	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	0
1	42428297	770	0		0	2016-05-01 17:50:03.000000		0
0	42428297	731	0	600.0	0	2016-05-01 17:55:08.000000	2016-05-01 18:05:07.609582	1
1	34340	389	0		207	2016-05-01 18:08:35.000000	2016-05-01 18:08:34.945460	1
2	26293	589	1		366	2016-05-01 18:11:14.000000	2016-05-01 18:11:13.234700	1
3	42428297	771	0		616	2016-05-01 18:15:24.000000		1
0	42428297	732	0	300.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:55:02.066002	2
1	3558	333	0		204	2016-05-01 17:58:27.000000	2016-05-01 17:59:57.705972	2
2	6597464530	352	1		374	2016-05-01 18:02:48.000000	2016-05-01 18:04:49.244825	2
3	5634	379	2		509	2016-05-01 18:07:05.000000	2016-05-01 18:07:04.224968	2
4	4457	579	3		672	2016-05-01 18:09:48.000000	2016-05-01 18:09:47.375905	2
5	3955360018	552	2		900	2016-05-01 18:13:36.000000	2016-05-01 18:13:35.182443	2
6	7877	533	1		1155	2016-05-01 18:17:51.000000	2016-05-01 18:17:50.064314	2
7	42428297	772	0		1277	2016-05-01 18:19:53.000000		2
0	42428297	733	0	386.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:56:28.148415	3
1	9619	338	0		159	2016-05-01 17:59:08.000000	2016-05-01 17:59:07.281537	3
2	3971196627	336	1		364	2016-05-01 18:02:33.000000	2016-05-01 18:02:34.113850	3
3	3539	368	2		536	2016-05-01 18:05:27.000000	2016-05-01 18:05:26.681742	3
4	23428	568	3		666	2016-05-01 18:07:37.000000	2016-05-01 18:07:36.677501	3
5	25273	536	2		730	2016-05-01 18:08:41.000000	2016-05-01 18:08:40.880735	3
6	2348991701	538	1		891	2016-05-01 18:11:22.000000	2016-05-01 18:11:21.639971	3
