	ta	tb	xa_lon	xa_lat	xb_lon	xb_lat	n	distance	duration	table_name	xa	xb	ia	ib	twa	twb	iv	iv_ta	iv_tb
6612	2016-05-01 18:00:00	2016-05-01 18:09:38	-73.9845199584961	40.75191879272461	-73.97905731201173	40.766876220703125	1	3057.7459999999996	578.0	yellow_tripdata_2016-05	(40.75191879272461, -73.9845199584961)	(40.766876220703125, -73.97905731201173)	33487	42423674	(Timestamp('2016-05-01 17:58:00'), Timestamp('2016-05-01 18:05:00'))	(Timestamp('2016-05-01 17:58:00'), Timestamp('2016-05-01 18:19:38'))	37.0	2016-05-01 18:03:29.996418	2016-05-01 18:07:04
7544	2016-05-01 18:00:01	2016-05-01 18:05:24	-73.99510192871094	40.75497817993164	-73.9988021850586	40.744510650634766	1	1448.406	323.0	yellow_tripdata_2016-05	(40.75497817993164, -73.99510192871094)	(40.744510650634766, -73.9988021850586)	40584	6011	(Timestamp('2016-05-01 17:58:01'), Timestamp('2016-05-01 18:05:01'))	(Timestamp('2016-05-01 17:58:01'), Timestamp('2016-05-01 18:15:24'))	0.0	2016-05-01 17:58:00.883125	2016-05-01 18:05:32
5378	2016-05-01 18:00:02	2016-05-01 18:07:03	-73.99134063720702	40.75128555297852	-73.97876739501953	40.74938583374024	1	1335.7522	421.0	yellow_tripdata_2016-05	(40.75128555297852, -73.99134063720702)	(40.74938583374024, -73.97876739501953)	8043	12604	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:05:02'))	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:17:03'))	35.0	2016-05-01 18:03:32	2016-05-01 18:07:20
148	2016-05-01 18:00:02	2016-05-01 18:11:20	-73.98922729492188	40.74208068847656	-73.99117279052734	40.75016021728516	1	1432.3126	678.0	yellow_tripdata_2016-05	(40.74208068847656, -73.98922729492188)	(40.75016021728516, -73.99117279052734)	1926	5235625496	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:05:02'))	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:21:20'))	35.0	2016-05-01 17:58:01.091964	2016-05-01 18:02:25
6099	2016-05-01 18:00:02	2016-05-01 18:05:07	-73.99149322509764	40.755008697509766	-74.00275421142578	40.756195068359375	1	1319.6588	305.0	yellow_tripdata_2016-05	(40.755008697509766, -73.99149322509764)	(40.756195068359375, -74.00275421142578)	5635	19969	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:05:02'))	(Timestamp('2016-05-01 17:58:02'), Timestamp('2016-05-01 18:15:07'))	34.0	2016-05-01 17:58:02	2016-05-01 18:00:04
2222	2016-05-01 18:00:03	2016-05-01 18:10:08	-73.98712921142578	40.7608528137207	-73.99124145507811	40.750244140625	1	1432.3126	605.0	yellow_tripdata_2016-05	(40.7608528137207, -73.98712921142578)	(40.750244140625, -73.99124145507811)	6775	5235625496	(Timestamp('2016-05-01 17:58:03'), Timestamp('2016-05-01 18:05:03'))	(Timestamp('2016-05-01 17:58:03'), Timestamp('2016-05-01 18:20:08'))	37.0	2016-05-01 17:58:02.114807	2016-05-01 18:02:37
7702	2016-05-01 18:00:04	2016-05-01 18:14:03	-73.9925765991211	40.753730773925774	-73.96330261230467	40.75444793701172	1	3218.68	839.0	yellow_tripdata_2016-05	(40.753730773925774, -73.9925765991211)	(40.75444793701172, -73.96330261230467)	41691	13899	(Timestamp('2016-05-01 17:58:04'), Timestamp('2016-05-01 18:05:04'))	(Timestamp('2016-05-01 17:58:04'), Timestamp('2016-05-01 18:24:03'))	34.0	2016-05-01 18:02:37	2016-05-01 18:05:38
7693	2016-05-01 18:00:04	2016-05-01 18:02:03	-73.98065948486328	40.74504089355469	-73.97693634033203	40.74734878540039	1	804.67	119.00000000000001	yellow_tripdata_2016-05	(40.74504089355469, -73.98065948486328)	(40.74734878540039, -73.97693634033203)	8119462472	13280	(Timestamp('2016-05-01 17:58:04'), Timestamp('2016-05-01 18:05:04'))	(Timestamp('2016-05-01 17:58:04'), Timestamp('2016-05-01 18:12:03'))	36.0	2016-05-01 17:58:03.614987	2016-05-01 18:00:41
941	2016-05-01 18:00:06	2016-05-01 18:05:25	-73.98543548583984	40.746936798095696	-73.9742889404297	40.75360870361328	1	1609.34	319.0	yellow_tripdata_2016-05	(40.746936798095696, -73.98543548583984)	(40.75360870361328, -73.9742889404297)	11257	5728	(Timestamp('2016-05-01 17:58:06'), Timestamp('2016-05-01 18:05:06'))	(Timestamp('2016-05-01 17:58:06'), Timestamp('2016-05-01 18:15:25'))	38.0	2016-05-01 17:58:05.694058	2016-05-01 18:01:41
10132	2016-05-01 18:00:07	2016-05-01 18:09:06	-73.97251892089844	40.75254821777344	-73.97953033447266	40.76361846923828	1	1770.2740000000001	539.0	yellow_tripdata_2016-05	(40.75254821777344, -73.97251892089844)	(40.76361846923828, -73.97953033447266)	10707	26972	(Timestamp('2016-05-01 17:58:07'), Timestamp('2016-05-01 18:05:07'))	(Timestamp('2016-05-01 17:58:07'), Timestamp('2016-05-01 18:19:06'))	38.0	2016-05-01 18:03:12.862624	2016-05-01 18:06:51
