	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.828636	0
1	42430350	192	0		702	2016-05-01 18:01:45.000000	2016-05-01 18:01:44.007542	0
2	21966	53	1		705	2016-05-01 18:01:48.000000	2016-05-01 18:01:47.168222	0
3	4936	14	1		858	2016-05-01 18:04:21.000000	2016-05-01 18:04:20.079037	0
4	4938	15	1		859	2016-05-01 18:04:22.000000	2016-05-01 18:06:22.109728	0
5	6772	165	1		900	2016-05-01 18:07:04.000000	2016-05-01 18:07:13.686892	0
6	6776	202	2		915	2016-05-01 18:07:29.000000	2016-05-01 18:07:28.124551	0
7	4850	11	3		1235	2016-05-01 18:12:49.000000	2016-05-01 18:12:48.056821	0
8	4851	12	3		1271	2016-05-01 18:13:25.000000	2016-05-01 18:13:25.000000	0
9	4851	272	3		1272	2016-05-01 18:13:26.000000	2016-05-01 18:13:26.000000	0
10	4851	153	2		1274	2016-05-01 18:13:28.000000	2016-05-01 18:13:28.000000	0
11	4851	245	3		1276	2016-05-01 18:13:30.000000	2016-05-01 18:13:29.780153	0
12	9619	41	2		1427	2016-05-01 18:16:01.000000	2016-05-01 18:16:00.573458	0
13	18389	47	2		1702	2016-05-01 18:20:36.000000	2016-05-01 18:20:36.000000	0
14	18389	233	2		1703	2016-05-01 18:20:37.000000	2016-05-01 18:20:36.037827	0
15	42439952	94	1		1977	2016-05-01 18:25:11.000000	2016-05-01 18:25:10.087858	0
16	8038	34	1		2067	2016-05-01 18:26:41.000000	2016-05-01 18:26:40.666961	0
17	37531	85	1		2288	2016-05-01 18:30:22.000000	2016-05-01 18:30:21.020167	0
18	37532	86	1		2288	2016-05-01 18:30:22.000000	2016-05-01 18:30:21.020167	0
19	37533	87	1		2288	2016-05-01 18:30:22.000000	2016-05-01 18:30:21.047100	0
20	4631139783	126	1		2289	2016-05-01 18:30:23.000000	2016-05-01 18:30:23.000000	0
21	4631139783	282	1		2290	2016-05-01 18:30:24.000000	2016-05-01 18:30:23.776149	0
22	26308	66	0		2306	2016-05-01 18:30:40.000000	2016-05-01 18:30:39.808336	0
23	26293	65	0		2554	2016-05-01 18:34:48.000000	2016-05-01 18:34:47.305348	0
24	8660596975	141	0		3756	2016-05-01 18:54:50.000000	2016-05-01 18:54:49.829841	0
25	6211484424	132	0		3766	2016-05-01 18:55:00.000000	2016-05-01 18:54:59.672425	0
26	5634	17	0		4060	2016-05-01 18:59:54.000000	2016-05-01 18:59:53.193483	0
27	6724	21	0		4071	2016-05-01 19:00:05.000000	2016-05-01 19:00:04.031015	0
28	6772	25	0		4085	2016-05-01 19:00:19.000000	2016-05-01 19:00:18.030894	0
29	3573482142	112	0		4112	2016-05-01 19:00:46.000000	2016-05-01 19:00:45.051311	0
30	25461	63	0		4112	2016-05-01 19:00:46.000000	2016-05-01 19:00:45.051311	0
31	25462	64	0		4112	2016-05-01 19:00:46.000000	2016-05-01 19:00:45.055925	0
32	6598535188	136	0		4118	2016-05-01 19:00:52.000000	2016-05-01 19:00:51.927657	0
33	42428297	313	0		4135	2016-05-01 19:01:09.000000		0
0	42428297	304	0	510.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:32.520644	1
1	6718	178	0		94	2016-05-01 18:00:07.000000	2016-05-01 18:00:06.095194	1
2	34340	82	1		298	2016-05-01 18:03:31.000000	2016-05-01 18:06:02.812346	1
3	5634	211	1		360	2016-05-01 18:07:05.000000	2016-05-01 18:07:04.494845	1
4	4207957615	258	2		438	2016-05-01 18:08:23.000000	2016-05-01 18:08:22.842355	1
5	30026	194	1		620	2016-05-01 18:11:25.000000	2016-05-01 18:11:25.000000	1
6	30026	80	2		621	2016-05-01 18:11:26.000000	2016-05-01 18:11:25.837910	1
7	23225	184	2		963	2016-05-01 18:17:08.000000	2016-05-01 18:17:08.000000	1
8	23225	59	3		964	2016-05-01 18:17:09.000000	2016-05-01 18:17:08.068293	1
9	23196	274	3		1062	2016-05-01 18:18:47.000000	2016-05-01 18:18:46.678298	1
10	6794	30	2		1213	2016-05-01 18:21:18.000000	2016-05-01 18:21:17.128251	1
11	6820	31	2		1300	2016-05-01 18:22:45.000000	2016-05-01 18:22:44.190898	1
12	4457	291	2		1339	2016-05-01 18:23:24.000000	2016-05-01 18:23:23.132767	1
13	5235625496	264	1		2207	2016-05-01 18:37:52.000000	2016-05-01 18:37:51.377866	1
14	42428297	314	0		3336	2016-05-01 18:56:41.000000		1
0	42428297	305	0	55.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:57.696328	2
1	4445	172	0		689	2016-05-01 18:02:27.000000	2016-05-01 18:02:27.000000	2
2	4445	6	1		690	2016-05-01 18:02:28.000000	2016-05-01 18:03:57.349573	2
3	25273	159	1		739	2016-05-01 18:04:47.000000	2016-05-01 18:04:46.246304	2
4	8704367787	142	2		841	2016-05-01 18:06:29.000000	2016-05-01 18:06:28.342885	2
5	6789	29	2		989	2016-05-01 18:08:57.000000	2016-05-01 18:08:56.017106	2
6	4461	199	2		1153	2016-05-01 18:11:41.000000	2016-05-01 18:11:40.202496	2
7	2435108444	145	3		1193	2016-05-01 18:12:21.000000	2016-05-01 18:12:20.001209	2
8	3942050712	115	4		1689	2016-05-01 18:20:37.000000	2016-05-01 18:20:37.000000	2
9	3942050712	279	4		1690	2016-05-01 18:20:38.000000	2016-05-01 18:20:37.063769	2
10	3530	4	3		1857	2016-05-01 18:23:25.000000	2016-05-01 18:23:24.539674	2
11	21908	52	3		1870	2016-05-01 18:23:38.000000	2016-05-01 18:23:38.000000	2
12	21908	252	3		1871	2016-05-01 18:23:39.000000	2016-05-01 18:23:38.256528	2
13	6723	239	2		1959	2016-05-01 18:25:07.000000	2016-05-01 18:25:06.216612	2
14	6598535230	225	1		2184	2016-05-01 18:28:52.000000	2016-05-01 18:28:52.000000	2
15	6598535230	137	0		2185	2016-05-01 18:28:53.000000	2016-05-01 18:28:52.394019	2
16	42428297	315	0		3190	2016-05-01 18:45:38.000000		2
0	42428297	306	0	131.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:52:13.931074	3
1	25283	201	0		528	2016-05-01 18:01:02.000000	2016-05-01 18:01:01.662020	3
2	6814895823	138	1		650	2016-05-01 18:03:04.000000	2016-05-01 18:09:08.191531	3
