|       |       xa_lat |       xa_lon |       xb_lat |       xb_lon |         y |        p |
|:------|-------------:|-------------:|-------------:|-------------:|----------:|---------:|
| count | 1000         | 1000         | 1000         | 1000         |  1000     |  1000    |
| mean  |   40.7698    |  -73.9726    |   40.7734    |  -73.9711    |  7539.74  |  7405.63 |
| std   |    0.0448282 |    0.0259297 |    0.0458035 |    0.0266603 |  4733.59  |  4457.11 |
| min   |   40.7007    |  -74.0182    |   40.701     |  -74.018     |   102.376 |  1619.5  |
| 25%   |   40.7314    |  -73.994     |   40.7344    |  -73.9934    |  3818.3   |  3635.29 |
| 50%   |   40.7664    |  -73.9757    |   40.7671    |  -73.9743    |  6439.79  |  6404.75 |
| 75%   |   40.8006    |  -73.9492    |   40.8049    |  -73.9479    | 10548.8   | 10065    |
| max   |   40.8793    |  -73.9059    |   40.8786    |  -73.9062    | 23242.6   | 21032    |
