	ta	tb	xa_lon	xa_lat	xb_lon	xb_lat	n	distance	duration	table_name	xa	xb	ia	ib	twa	twb	iv	iv_ta	iv_tb
6135	2016-05-01 18:23:37	2016-05-01 18:32:03	-73.97789001464844	40.7545051574707	-73.98475646972656	40.7574462890625	1	917.3237999999999	506.00000000000006	yellow_tripdata_2016-05	(40.7545051574707, -73.97789001464844)	(40.7574462890625, -73.98475646972656)	27028	35121	(Timestamp('2016-05-01 18:21:37'), Timestamp('2016-05-01 18:28:37'))	(Timestamp('2016-05-01 18:21:37'), Timestamp('2016-05-01 18:42:03'))	71.0	2016-05-01 18:26:46.249618	2016-05-01 18:31:41
9907	2016-05-01 18:24:00	2016-05-01 18:31:32	-73.98841094970702	40.764263153076165	-73.99529266357422	40.75546646118164	1	1126.5379999999998	452.0	yellow_tripdata_2016-05	(40.764263153076165, -73.98841094970702)	(40.75546646118164, -73.99529266357422)	25267	18389	(Timestamp('2016-05-01 18:22:00'), Timestamp('2016-05-01 18:29:00'))	(Timestamp('2016-05-01 18:22:00'), Timestamp('2016-05-01 18:41:32'))	69.0	2016-05-01 18:21:59.522746	2016-05-01 18:26:44
6676	2016-05-01 18:24:22	2016-05-01 18:30:35	-73.98543548583984	40.762149810791016	-73.98682403564453	40.75689315795898	1	804.67	373.0	yellow_tripdata_2016-05	(40.762149810791016, -73.98543548583984)	(40.75689315795898, -73.98682403564453)	30027	27133	(Timestamp('2016-05-01 18:22:22'), Timestamp('2016-05-01 18:29:22'))	(Timestamp('2016-05-01 18:22:22'), Timestamp('2016-05-01 18:40:35'))	33.0	2016-05-01 18:28:59.428777	2016-05-01 18:39:30
9758	2016-05-01 18:24:23	2016-05-01 18:33:20	-73.97648620605469	40.75925064086913	-73.9866714477539	40.75631332397461	1	1384.0323999999998	537.0	yellow_tripdata_2016-05	(40.75925064086913, -73.97648620605469)	(40.75631332397461, -73.9866714477539)	27227	27131	(Timestamp('2016-05-01 18:22:23'), Timestamp('2016-05-01 18:29:23'))	(Timestamp('2016-05-01 18:22:23'), Timestamp('2016-05-01 18:43:20'))	56.0	2016-05-01 18:24:35.112661	2016-05-01 18:29:45
8552	2016-05-01 18:25:13	2016-05-01 18:29:46	-73.9900131225586	40.757339477539055	-73.98702239990233	40.76604843139648	1	1335.7522	273.0	yellow_tripdata_2016-05	(40.757339477539055, -73.9900131225586)	(40.76604843139648, -73.98702239990233)	6762	3463810252	(Timestamp('2016-05-01 18:23:13'), Timestamp('2016-05-01 18:30:13'))	(Timestamp('2016-05-01 18:23:13'), Timestamp('2016-05-01 18:39:46'))	54.0	2016-05-01 18:24:23.014904	2016-05-01 18:26:20
5871	2016-05-01 18:25:48	2016-05-01 18:28:15	-73.98760986328125	40.76047134399414	-73.98898315429686	40.765979766845696	1	869.0436	147.0	yellow_tripdata_2016-05	(40.76047134399414, -73.98760986328125)	(40.765979766845696, -73.98898315429686)	6210777836	25234	(Timestamp('2016-05-01 18:23:48'), Timestamp('2016-05-01 18:30:48'))	(Timestamp('2016-05-01 18:23:48'), Timestamp('2016-05-01 18:38:15'))	73.0	2016-05-01 18:26:17.425639	2016-05-01 18:30:11
8426	2016-05-01 18:25:52	2016-05-01 18:31:06	-73.97978210449217	40.76559448242188	-73.99127197265625	40.76031494140625	1	1448.406	314.0	yellow_tripdata_2016-05	(40.76559448242188, -73.97978210449217)	(40.76031494140625, -73.99127197265625)	9520	42432703	(Timestamp('2016-05-01 18:23:52'), Timestamp('2016-05-01 18:30:52'))	(Timestamp('2016-05-01 18:23:52'), Timestamp('2016-05-01 18:41:06'))	48.0	2016-05-01 18:29:16.255644	2016-05-01 18:31:58
958	2016-05-01 18:26:04	2016-05-01 18:33:11	-73.98416900634764	40.75661849975586	-73.98365783691406	40.76290130615234	1	1384.0323999999998	427.0	yellow_tripdata_2016-05	(40.75661849975586, -73.98416900634764)	(40.76290130615234, -73.98365783691406)	35141	6805	(Timestamp('2016-05-01 18:24:04'), Timestamp('2016-05-01 18:31:04'))	(Timestamp('2016-05-01 18:24:04'), Timestamp('2016-05-01 18:43:11'))	0.0	2016-05-01 18:24:03.127331	2016-05-01 18:27:04
3082	2016-05-01 18:26:07	2016-05-01 18:31:17	-73.99239349365233	40.75844955444336	-73.9900131225586	40.76065826416016	1	997.7908	310.0	yellow_tripdata_2016-05	(40.75844955444336, -73.99239349365233)	(40.76065826416016, -73.9900131225586)	8750636592	23135	(Timestamp('2016-05-01 18:24:07'), Timestamp('2016-05-01 18:31:07'))	(Timestamp('2016-05-01 18:24:07'), Timestamp('2016-05-01 18:41:17'))	64.0	2016-05-01 18:26:52.550672	2016-05-01 18:29:33
5062	2016-05-01 18:26:11	2016-05-01 18:34:13	-73.97743225097656	40.76456451416016	-73.98478698730467	40.760566711425774	1	965.6039999999999	482.00000000000006	yellow_tripdata_2016-05	(40.76456451416016, -73.97743225097656)	(40.760566711425774, -73.98478698730467)	3606	23199	(Timestamp('2016-05-01 18:24:11'), Timestamp('2016-05-01 18:31:11'))	(Timestamp('2016-05-01 18:24:11'), Timestamp('2016-05-01 18:44:13'))	57.0	2016-05-01 18:24:10.460770	2016-05-01 18:26:16
4868	2016-05-01 18:26:17	2016-05-01 18:29:54	-73.98619842529298	40.755802154541016	-73.97826385498048	40.75240707397461	1	804.67	217.0	yellow_tripdata_2016-05	(40.755802154541016, -73.98619842529298)	(40.75240707397461, -73.97826385498048)	3974095818	3955360018	(Timestamp('2016-05-01 18:24:17'), Timestamp('2016-05-01 18:31:17'))	(Timestamp('2016-05-01 18:24:17'), Timestamp('2016-05-01 18:39:54'))	56.0	2016-05-01 18:31:08.741167	2016-05-01 18:32:22
3852	2016-05-01 18:26:25	2016-05-01 18:31:51	-73.98490142822266	40.75916290283203	-73.99101257324217	40.75039291381836	1	1126.5379999999998	326.0	yellow_tripdata_2016-05	(40.75916290283203, -73.98490142822266)	(40.75039291381836, -73.99101257324217)	23193	7590955909	(Timestamp('2016-05-01 18:24:25'), Timestamp('2016-05-01 18:31:25'))	(Timestamp('2016-05-01 18:24:25'), Timestamp('2016-05-01 18:41:51'))	43.0	2016-05-01 18:30:14	2016-05-01 18:35:05
483	2016-05-01 18:26:27	2016-05-01 18:28:26	-73.991943359375	40.76464080810546	-73.98101806640625	40.765079498291016	1	1207.0049999999999	119.00000000000001	yellow_tripdata_2016-05	(40.76464080810546, -73.991943359375)	(40.765079498291016, -73.98101806640625)	4852	4440	(Timestamp('2016-05-01 18:24:27'), Timestamp('2016-05-01 18:31:27'))	(Timestamp('2016-05-01 18:24:27'), Timestamp('2016-05-01 18:38:26'))	67.0	2016-05-01 18:30:54.791991	2016-05-01 18:32:28
8431	2016-05-01 18:26:29	2016-05-01 18:35:36	-73.97734069824217	40.75836181640625	-73.99089813232422	40.75865173339844	1	1561.0597999999998	547.0	yellow_tripdata_2016-05	(40.75836181640625, -73.97734069824217)	(40.75865173339844, -73.99089813232422)	3977886222	23155	(Timestamp('2016-05-01 18:24:29'), Timestamp('2016-05-01 18:31:29'))	(Timestamp('2016-05-01 18:24:29'), Timestamp('2016-05-01 18:45:36'))	52.0	2016-05-01 18:30:57.082237	2016-05-01 18:35:39
