	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	345.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:55:44.114037	0
1	3576	49	0		65	2016-05-01 17:56:50.000000	2016-05-01 18:06:49.031612	0
2	27123	1086	0		68	2016-05-01 18:06:53.000000	2016-05-01 18:06:52.160835	0
3	4544486780	614	1		70	2016-05-01 18:06:55.000000	2016-05-01 18:06:54.134754	0
4	1690448973	858	1		101	2016-05-01 18:07:26.000000	2016-05-01 18:07:25.890943	0
5	100521728	996	2		103	2016-05-01 18:07:28.000000	2016-05-01 18:07:27.465684	0
6	8119462452	888	3		120	2016-05-01 18:07:45.000000	2016-05-01 18:07:45.000000	0
7	8119462452	1288	4		122	2016-05-01 18:07:47.000000	2016-05-01 18:07:46.035897	0
8	6224278787	658	3		138	2016-05-01 18:08:03.000000	2016-05-01 18:08:02.473450	0
9	6702	1486	3		240	2016-05-01 18:09:45.000000	2016-05-01 18:09:44.488854	0
10	6703	130	2		242	2016-05-01 18:09:47.000000	2016-05-01 18:09:46.415465	0
11	8288270386	697	2		525	2016-05-01 18:14:30.000000	2016-05-01 18:14:29.354922	0
12	6232	107	2		547	2016-05-01 18:14:52.000000	2016-05-01 18:14:51.134406	0
13	8261122905	690	2		577	2016-05-01 18:15:22.000000	2016-05-01 18:15:21.815501	0
14	8261122118	687	2		588	2016-05-01 18:15:33.000000	2016-05-01 18:15:32.740782	0
15	19969	1396	2		672	2016-05-01 18:16:57.000000	2016-05-01 18:16:56.119106	0
16	8261044794	1258	1		680	2016-05-01 18:17:05.000000	2016-05-01 18:17:04.653624	0
17	33022	454	0		1088	2016-05-01 18:23:53.000000	2016-05-01 18:23:52.056407	0
18	40584	501	0		1460	2016-05-01 18:30:05.000000	2016-05-01 18:30:04.236290	0
19	7877	166	0		1656	2016-05-01 18:33:21.000000	2016-05-01 18:33:20.063817	0
20	25461	344	0		1751	2016-05-01 18:34:56.000000	2016-05-01 18:34:55.000496	0
21	42428297	1516	0		1776	2016-05-01 18:35:21.000000		0
0	42428297	1507	0	524.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:58:43.988107	1
1	6598535230	786	0		50	2016-05-01 17:59:34.000000	2016-05-01 17:59:33.559568	1
2	3539	44	1		207	2016-05-01 18:02:11.000000	2016-05-01 18:03:56.157988	1
3	3560	970	1		228	2016-05-01 18:04:18.000000	2016-05-01 18:04:17.649025	1
4	3561	48	2		229	2016-05-01 18:04:19.000000	2016-05-01 18:04:18.124960	1
5	11117	760	2		262	2016-05-01 18:04:52.000000	2016-05-01 18:04:51.638851	1
6	11118	932	3		264	2016-05-01 18:04:54.000000	2016-05-01 18:04:53.446831	1
7	19274	865	4		329	2016-05-01 18:05:59.000000	2016-05-01 18:05:58.283729	1
8	42453986	797	5		336	2016-05-01 18:06:06.000000	2016-05-01 18:06:05.965295	1
9	4773	873	6		348	2016-05-01 18:06:18.000000	2016-05-01 18:06:17.315014	1
10	3817760026	569	7		440	2016-05-01 18:07:50.000000	2016-05-01 18:07:49.102809	1
11	6139477294	650	7		448	2016-05-01 18:07:58.000000	2016-05-01 18:07:57.077982	1
12	28804	406	7		466	2016-05-01 18:08:16.000000	2016-05-01 18:08:16.000000	1
13	28804	1273	7		467	2016-05-01 18:08:17.000000	2016-05-01 18:08:16.187805	1
14	7468	155	6		523	2016-05-01 18:09:13.000000	2016-05-01 18:09:12.568259	1
15	32251	452	6		545	2016-05-01 18:09:35.000000	2016-05-01 18:09:34.833773	1
16	23394	1332	6		578	2016-05-01 18:10:08.000000	2016-05-01 18:10:07.693444	1
17	42429888	1265	5		719	2016-05-01 18:12:29.000000	2016-05-01 18:12:28.056838	1
