	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.093956	0
1	4905	17	0		5	2016-05-01 17:50:08.000000	2016-05-01 17:50:07.819164	0
2	4909	18	0		15	2016-05-01 17:50:18.000000	2016-05-01 17:50:17.284818	0
3	6787	36	0		48	2016-05-01 17:50:51.000000	2016-05-01 17:50:50.272921	0
4	42439996	123	0		97	2016-05-01 17:51:40.000000	2016-05-01 17:57:40.402037	0
5	9499	214	0		139	2016-05-01 17:58:23.000000	2016-05-01 18:00:37.003229	0
6	4905	275	1		241	2016-05-01 18:02:20.000000	2016-05-01 18:02:19.666874	0
7	4828	181	2		270	2016-05-01 18:02:49.000000	2016-05-01 18:02:48.767428	0
8	6793	262	3		285	2016-05-01 18:03:04.000000	2016-05-01 18:03:03.781219	0
9	6794	39	4		290	2016-05-01 18:03:09.000000	2016-05-01 18:03:08.021203	0
10	6804	40	4		364	2016-05-01 18:04:23.000000	2016-05-01 18:04:23.000000	0
11	6804	375	4		365	2016-05-01 18:04:24.000000	2016-05-01 18:04:23.628399	0
12	3971196627	148	3		560	2016-05-01 18:07:39.000000	2016-05-01 18:07:38.036368	0
13	15769	247	3		602	2016-05-01 18:08:21.000000	2016-05-01 18:08:20.365557	0
14	100522739	128	4		658	2016-05-01 18:09:17.000000	2016-05-01 18:09:17.000000	0
15	100522739	250	4		659	2016-05-01 18:09:18.000000	2016-05-01 18:09:17.537451	0
16	1690450548	220	5		668	2016-05-01 18:09:27.000000	2016-05-01 18:09:27.000000	0
17	1690450548	131	6		669	2016-05-01 18:09:28.000000	2016-05-01 18:09:27.946344	0
18	7788529741	174	6		735	2016-05-01 18:10:34.000000	2016-05-01 18:10:34.000000	0
19	7788529741	347	6		736	2016-05-01 18:10:35.000000	2016-05-01 18:10:34.263206	0
20	9416	314	5		1040	2016-05-01 18:15:39.000000	2016-05-01 18:15:38.629778	0
21	4631139783	157	4		1048	2016-05-01 18:15:47.000000	2016-05-01 18:15:46.659948	0
22	26308	320	4		1052	2016-05-01 18:15:51.000000	2016-05-01 18:15:50.050135	0
23	7893	362	3		1210	2016-05-01 18:18:29.000000	2016-05-01 18:18:28.424317	0
24	38724	114	2		1218	2016-05-01 18:18:37.000000	2016-05-01 18:18:36.249444	0
25	18389	63	2		1222	2016-05-01 18:18:41.000000	2016-05-01 18:18:40.260445	0
26	11148	281	2		1296	2016-05-01 18:19:55.000000	2016-05-01 18:19:55.000000	0
27	11148	58	1		1297	2016-05-01 18:19:56.000000	2016-05-01 18:19:55.153532	0
28	6753	350	1		1667	2016-05-01 18:26:06.000000	2016-05-01 18:26:05.151645	0
29	42428297	388	0		1710	2016-05-01 18:26:49.000000		0
0	42428297	379	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.315005	1
1	3942050705	142	0		61	2016-05-01 17:51:04.000000	2016-05-01 17:51:03.318573	1
2	19318	65	0		142	2016-05-01 17:52:25.000000	2016-05-01 17:59:09.913639	1
3	561042204	189	0		145	2016-05-01 17:59:13.000000	2016-05-01 17:59:12.241056	1
4	19317	64	1		146	2016-05-01 17:59:14.000000	2016-05-01 17:59:13.354515	1
5	3955360018	145	1		146	2016-05-01 17:59:14.000000	2016-05-01 17:59:13.183195	1
6	7826843771	175	1		155	2016-05-01 17:59:23.000000	2016-05-01 17:59:22.124933	1
7	6718	200	1		306	2016-05-01 18:01:54.000000	2016-05-01 18:01:54.000000	1
8	6718	25	2		307	2016-05-01 18:01:55.000000	2016-05-01 18:01:54.062765	1
9	40587	115	2		495	2016-05-01 18:05:03.000000	2016-05-01 18:05:02.548857	1
10	34340	108	2		547	2016-05-01 18:05:55.000000	2016-05-01 18:05:54.925695	1
11	5634	22	2		582	2016-05-01 18:06:30.000000	2016-05-01 18:07:04.000000	1
12	5634	197	2		583	2016-05-01 18:07:05.000000	2016-05-01 18:07:04.353755	1
13	35126	110	3		638	2016-05-01 18:08:00.000000	2016-05-01 18:07:59.255837	1
14	4770624001	158	3		751	2016-05-01 18:09:53.000000	2016-05-01 18:09:53.000000	1
15	4770624001	209	3		752	2016-05-01 18:09:54.000000	2016-05-01 18:09:53.152805	1
16	1992	2	4		755	2016-05-01 18:09:57.000000	2016-05-01 18:09:56.178067	1
17	6753	29	4		823	2016-05-01 18:11:05.000000	2016-05-01 18:11:04.310819	1
18	6755	30	4		823	2016-05-01 18:11:05.000000	2016-05-01 18:11:04.472966	1
19	6772	201	4		825	2016-05-01 18:11:07.000000	2016-05-01 18:11:06.910871	1
20	6776	34	5		830	2016-05-01 18:11:12.000000	2016-05-01 18:11:11.071449	1
21	4207957615	300	5		836	2016-05-01 18:11:18.000000	2016-05-01 18:11:17.449066	1
22	6820	41	4		890	2016-05-01 18:12:12.000000	2016-05-01 18:12:11.377364	1
23	4457	297	4		923	2016-05-01 18:12:45.000000	2016-05-01 18:12:44.825776	1
