	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.721454	0
1	4905	12	0		16	2016-05-01 17:50:19.000000	2016-05-01 17:50:18.128924	0
2	4207815979	122	0		266	2016-05-01 17:54:29.000000	2016-05-01 17:54:28.427941	0
3	19319	55	0		749	2016-05-01 18:02:32.000000	2016-05-01 18:02:31.892337	0
4	561042204	187	0		751	2016-05-01 18:02:34.000000	2016-05-01 18:02:33.188433	0
5	27077	79	1		763	2016-05-01 18:02:46.000000	2016-05-01 18:02:45.254437	0
6	3530	5	1		818	2016-05-01 18:03:41.000000	2016-05-01 18:03:40.337918	0
7	4905	165	1		940	2016-05-01 18:05:43.000000	2016-05-01 18:05:42.582604	0
8	4909	13	2		968	2016-05-01 18:06:11.000000	2016-05-01 18:06:10.023359	0
9	6789	29	2		1107	2016-05-01 18:08:30.000000	2016-05-01 18:08:29.106544	0
10	6793	30	2		1141	2016-05-01 18:09:04.000000	2016-05-01 18:09:03.076287	0
11	6804	32	2		1286	2016-05-01 18:11:29.000000	2016-05-01 18:11:29.000000	0
12	6804	245	2		1287	2016-05-01 18:11:30.000000	2016-05-01 18:11:29.363388	0
13	42439996	103	1		1392	2016-05-01 18:13:15.000000	2016-05-01 18:13:14.553802	0
14	9499	44	1		1402	2016-05-01 18:13:25.000000	2016-05-01 18:14:05.358088	0
15	42439994	181	1		1406	2016-05-01 18:14:10.000000	2016-05-01 18:14:09.216779	0
16	4938	267	2		1487	2016-05-01 18:15:31.000000	2016-05-01 18:15:30.764771	0
17	6760	261	1		1522	2016-05-01 18:16:06.000000	2016-05-01 18:16:05.185644	0
18	3573482142	176	0		1572	2016-05-01 18:16:56.000000	2016-05-01 18:16:55.051311	0
19	25461	69	1		1573	2016-05-01 18:16:57.000000	2016-05-01 18:16:56.027937	0
20	42430342	99	1		1789	2016-05-01 18:20:33.000000	2016-05-01 18:20:32.471573	0
21	22838	59	1		2277	2016-05-01 18:28:41.000000	2016-05-01 18:28:41.000000	0
22	22838	256	1		2278	2016-05-01 18:28:42.000000	2016-05-01 18:28:41.168374	0
23	11117	47	0		2982	2016-05-01 18:40:26.000000	2016-05-01 18:40:25.363560	0
24	3942050705	117	0		3197	2016-05-01 18:44:01.000000	2016-05-01 18:44:00.660675	0
25	35123	92	0		3381	2016-05-01 18:47:05.000000	2016-05-01 18:47:04.888953	0
26	42428297	314	0		3384	2016-05-01 18:47:08.000000		0
0	42428297	305	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.020341	1
1	4207957615	123	0		124	2016-05-01 17:52:07.000000	2016-05-01 17:52:06.059820	1
2	6820	33	0		313	2016-05-01 17:55:16.000000	2016-05-01 17:55:15.239490	1
3	42428312	98	0		369	2016-05-01 17:56:12.000000	2016-05-01 17:56:11.227368	1
4	2435108444	111	0		383	2016-05-01 17:56:26.000000	2016-05-01 17:58:03.244548	1
5	9499	166	0		402	2016-05-01 17:58:23.000000	2016-05-01 17:58:22.102798	1
6	34311	90	1		475	2016-05-01 17:59:36.000000	2016-05-01 17:59:41.393033	1
7	4936	154	1		484	2016-05-01 17:59:51.000000	2016-05-01 17:59:50.079037	1
8	4938	15	2		486	2016-05-01 17:59:53.000000	2016-05-01 17:59:52.758373	1
9	6753	21	2		520	2016-05-01 18:00:27.000000	2016-05-01 18:00:26.038246	1
10	6776	26	2		539	2016-05-01 18:00:46.000000	2016-05-01 18:00:45.103467	1
11	6775	210	2		546	2016-05-01 18:00:53.000000	2016-05-01 18:03:34.310024	1
12	4207815979	151	3		719	2016-05-01 18:06:28.000000	2016-05-01 18:06:27.229784	1
13	6820	216	4		768	2016-05-01 18:07:17.000000	2016-05-01 18:07:16.082590	1
14	6210777836	132	5		863	2016-05-01 18:08:52.000000	2016-05-01 18:08:51.336821	1
15	5481886057	231	5		892	2016-05-01 18:09:21.000000	2016-05-01 18:09:20.092998	1
16	38724	96	4		958	2016-05-01 18:10:27.000000	2016-05-01 18:10:26.358596	1
17	40587	97	4		972	2016-05-01 18:10:41.000000	2016-05-01 18:10:40.368202	1
18	9416	246	4		1195	2016-05-01 18:14:24.000000	2016-05-01 18:14:23.386750	1
19	37531	93	3		1515	2016-05-01 18:19:44.000000	2016-05-01 18:19:43.020167	1
20	37532	234	3		1516	2016-05-01 18:19:45.000000	2016-05-01 18:19:44.020167	1
21	37533	95	2		1517	2016-05-01 18:19:46.000000	2016-05-01 18:19:45.736402	1
22	5235625496	129	2		1519	2016-05-01 18:19:48.000000	2016-05-01 18:19:48.000000	1
23	5235625496	296	2		1520	2016-05-01 18:19:49.000000	2016-05-01 18:19:49.000000	1
24	5235625496	290	1		1522	2016-05-01 18:19:51.000000	2016-05-01 18:19:50.378909	1
25	1954	1	0		2427	2016-05-01 18:34:56.000000	2016-05-01 18:34:55.379721	1
26	4886228959	128	0		2539	2016-05-01 18:36:48.000000	2016-05-01 18:36:47.128930	1
27	26559	73	0		2613	2016-05-01 18:38:02.000000	2016-05-01 18:38:01.002953	1
28	26560	74	0		2613	2016-05-01 18:38:02.000000	2016-05-01 18:38:01.120045	1
29	26561	75	0		2616	2016-05-01 18:38:05.000000	2016-05-01 18:38:04.847921	1
30	3460	3	0		2618	2016-05-01 18:38:07.000000	2016-05-01 18:38:06.771132	1
31	42428297	315	0		2791	2016-05-01 18:41:00.000000		1
0	42428297	306	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.825407	2
1	9619	189	0		580	2016-05-01 17:59:43.000000	2016-05-01 17:59:43.000000	2
2	9619	46	1		581	2016-05-01 17:59:44.000000	2016-05-01 17:59:43.644618	2
3	2348991701	109	1		978	2016-05-01 18:06:21.000000	2016-05-01 18:06:21.000000	2
4	2348991701	269	1		979	2016-05-01 18:06:22.000000	2016-05-01 18:06:21.364990	2
5	4544486780	191	0		1272	2016-05-01 18:11:15.000000	2016-05-01 18:11:14.531719	2
6	3463817013	114	1		1808	2016-05-01 18:20:11.000000	2016-05-01 18:20:11.000000	2
7	3463817013	204	1		1809	2016-05-01 18:20:12.000000	2016-05-01 18:20:11.281429	2
8	42430350	100	2		2252	2016-05-01 18:27:35.000000	2016-05-01 18:27:34.007542	2
9	21966	58	2		2254	2016-05-01 18:27:37.000000	2016-05-01 18:27:37.000000	2
10	21966	284	2		2255	2016-05-01 18:27:38.000000	2016-05-01 18:27:37.624782	2
11	4909	271	1		2410	2016-05-01 18:30:13.000000	2016-05-01 18:30:12.563034	2
12	42428297	316	0		2496	2016-05-01 18:31:39.000000		2
0	42428297	307	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.564480	3
1	3308681104	112	0		506	2016-05-01 17:58:29.000000	2016-05-01 18:00:40.366594	3
2	25283	169	0		527	2016-05-01 18:01:02.000000	2016-05-01 18:01:01.051712	3
3	561042204	107	1		850	2016-05-01 18:06:25.000000	2016-05-01 18:06:24.682473	3
4	3955360018	119	1		854	2016-05-01 18:06:29.000000	2016-05-01 18:09:22.505959	3
5	27077	149	1		862	2016-05-01 18:09:31.000000	2016-05-01 18:09:30.287264	3
6	42445917	105	2		867	2016-05-01 18:09:36.000000	2016-05-01 18:09:35.268997	3
7	3942050702	116	2		876	2016-05-01 18:09:45.000000	2016-05-01 18:09:44.133620	3
8	26991	77	2		878	2016-05-01 18:09:47.000000	2016-05-01 18:09:47.000000	3
9	26991	161	2		879	2016-05-01 18:09:48.000000	2016-05-01 18:09:47.869800	3
10	11328	50	3		908	2016-05-01 18:10:17.000000	2016-05-01 18:10:16.775086	3
11	12112	51	3		919	2016-05-01 18:10:28.000000	2016-05-01 18:10:27.948346	3
12	100522739	106	3		1114	2016-05-01 18:13:43.000000	2016-05-01 18:13:43.000000	3
13	100522739	185	3		1115	2016-05-01 18:13:44.000000	2016-05-01 18:13:43.235590	3
14	42443807	104	4		1143	2016-05-01 18:14:12.000000	2016-05-01 18:14:11.040795	3
15	42445917	157	4		1153	2016-05-01 18:14:22.000000	2016-05-01 18:14:21.967172	3
16	3530	249	5		1206	2016-05-01 18:15:15.000000	2016-05-01 18:15:14.358175	3
17	6597464486	182	4		1314	2016-05-01 18:17:03.000000	2016-05-01 18:17:02.099545	3
18	6597464530	136	5		1357	2016-05-01 18:17:46.000000	2016-05-01 18:17:45.679388	3
19	6718	18	5		1406	2016-05-01 18:18:35.000000	2016-05-01 18:18:34.704289	3
20	7894	37	5		1485	2016-05-01 18:19:54.000000	2016-05-01 18:19:54.000000	3
21	7894	262	5		1486	2016-05-01 18:19:55.000000	2016-05-01 18:19:54.380709	3
22	6753	265	4		1531	2016-05-01 18:20:40.000000	2016-05-01 18:20:39.274697	3
23	34311	241	3		1570	2016-05-01 18:21:19.000000	2016-05-01 18:21:18.189789	3
24	5481886057	130	2		1585	2016-05-01 18:21:34.000000	2016-05-01 18:21:33.246918	3
25	6775	25	2		1601	2016-05-01 18:21:50.000000	2016-05-01 18:21:49.194052	3
26	6786	27	2		1757	2016-05-01 18:24:26.000000	2016-05-01 18:24:25.247951	3
27	6787	28	2		1796	2016-05-01 18:25:05.000000	2016-05-01 18:25:05.000000	3
28	6787	229	2		1797	2016-05-01 18:25:06.000000	2016-05-01 18:25:05.178696	3
29	8704367787	143	1		2114	2016-05-01 18:30:23.000000	2016-05-01 18:30:22.967378	3
30	6794	237	1		2307	2016-05-01 18:33:36.000000	2016-05-01 18:33:35.051560	3
31	23121	61	0		2504	2016-05-01 18:36:53.000000	2016-05-01 18:36:52.875611	3
32	2351532363	110	0		2529	2016-05-01 18:37:18.000000	2016-05-01 18:37:17.430269	3
33	34340	91	0		2919	2016-05-01 18:43:48.000000	2016-05-01 18:43:47.153942	3
34	42428297	317	0		3060	2016-05-01 18:46:09.000000		3
0	42428297	308	0	508.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:30.369177	4
1	4828	168	0		149	2016-05-01 18:01:00.000000	2016-05-01 18:00:59.064784	4
2	6793	214	1		220	2016-05-01 18:02:11.000000	2016-05-01 18:02:10.517950	4
3	6794	31	2		229	2016-05-01 18:02:20.000000	2016-05-01 18:02:19.131927	4
4	4458	8	2		359	2016-05-01 18:04:30.000000	2016-05-01 18:09:58.000000	4
5	4458	208	2		360	2016-05-01 18:09:59.000000	2016-05-01 18:09:58.953848	4
6	2435108444	160	3		588	2016-05-01 18:13:47.000000	2016-05-01 18:13:46.363037	4
7	23196	63	4		596	2016-05-01 18:13:55.000000	2016-05-01 18:13:54.112821	4
8	38724	288	4		664	2016-05-01 18:15:03.000000	2016-05-01 18:15:02.358596	4
9	40587	206	3		680	2016-05-01 18:15:19.000000	2016-05-01 18:15:18.396965	4
10	7883	35	4		736	2016-05-01 18:16:15.000000	2016-05-01 18:16:14.765802	4
11	7893	36	4		796	2016-05-01 18:17:15.000000	2016-05-01 18:17:15.000000	4
12	7893	294	4		797	2016-05-01 18:17:16.000000	2016-05-01 18:17:15.683471	4
13	11148	248	3		812	2016-05-01 18:17:31.000000	2016-05-01 18:17:31.000000	4
14	11148	49	2		813	2016-05-01 18:17:32.000000	2016-05-01 18:17:31.748327	4
15	6760	23	2		955	2016-05-01 18:19:54.000000	2016-05-01 18:19:53.033041	4
16	21907	57	2		1097	2016-05-01 18:22:16.000000	2016-05-01 18:22:16.000000	4
17	21907	286	2		1098	2016-05-01 18:22:17.000000	2016-05-01 18:22:16.265629	4
18	6598535230	240	1		1411	2016-05-01 18:27:30.000000	2016-05-01 18:27:30.000000	4
19	6598535230	138	0		1412	2016-05-01 18:27:31.000000	2016-05-01 18:27:30.394019	4
20	42428297	318	0		2417	2016-05-01 18:44:16.000000		4
0	42428297	309	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.466526	5
1	27146	81	0		9	2016-05-01 17:50:12.000000	2016-05-01 17:58:42.054118	5
2	6718	179	0		93	2016-05-01 18:00:07.000000	2016-05-01 18:00:06.086995	5
3	30026	162	1		434	2016-05-01 18:05:48.000000	2016-05-01 18:05:48.000000	5
4	30026	89	2		435	2016-05-01 18:05:49.000000	2016-05-01 18:05:48.837910	5
5	23225	64	2		776	2016-05-01 18:11:30.000000	2016-05-01 18:12:07.000000	5
6	23225	218	2		777	2016-05-01 18:12:08.000000	2016-05-01 18:12:07.068293	5
7	23196	242	3		876	2016-05-01 18:13:47.000000	2016-05-01 18:13:46.786769	5
8	23164	193	2		952	2016-05-01 18:15:03.000000	2016-05-01 18:15:03.000000	5
9	23164	62	3		953	2016-05-01 18:15:04.000000	2016-05-01 18:15:03.046608	5
10	4207957615	259	3		1067	2016-05-01 18:16:58.000000	2016-05-01 18:16:57.348836	5
11	4828	9	2		1091	2016-05-01 18:17:22.000000	2016-05-01 18:17:21.411788	5
12	6814895823	139	2		1492	2016-05-01 18:24:03.000000	2016-05-01 18:24:03.000000	5
13	6814895823	273	2		1493	2016-05-01 18:24:04.000000	2016-05-01 18:24:03.298856	5
14	9416	42	1		2106	2016-05-01 18:34:17.000000	2016-05-01 18:34:16.163486	5
15	5235625496	298	1		2430	2016-05-01 18:39:41.000000	2016-05-01 18:39:40.355505	5
16	6224277860	133	0		3449	2016-05-01 18:56:40.000000	2016-05-01 18:56:39.303865	5
17	6224278786	134	0		3694	2016-05-01 19:00:45.000000	2016-05-01 19:00:44.920301	5
18	8051	38	0		5140	2016-05-01 19:24:51.000000	2016-05-01 19:24:50.650906	5
19	8052	39	0		5242	2016-05-01 19:26:33.000000	2016-05-01 19:26:32.266567	5
20	37532	94	0		5924	2016-05-01 19:37:55.000000	2016-05-01 19:37:54.067267	5
21	4631139783	125	0		5926	2016-05-01 19:37:57.000000	2016-05-01 19:37:56.776149	5
22	26308	72	0		5941	2016-05-01 19:38:12.000000	2016-05-01 19:38:11.808336	5
23	26293	71	0		6189	2016-05-01 19:42:20.000000	2016-05-01 19:42:19.198711	5
24	6702	17	0		7034	2016-05-01 19:56:25.000000	2016-05-01 19:56:24.106636	5
25	8660596975	142	0		7390	2016-05-01 20:02:21.000000	2016-05-01 20:02:20.139822	5
26	6755	22	0		7427	2016-05-01 20:02:58.000000	2016-05-01 20:02:57.535996	5
27	42428297	319	0		7485	2016-05-01 20:03:56.000000		5
0	42428297	310	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.741711	6
1	6597464486	135	0		1	2016-05-01 17:50:04.000000	2016-05-01 17:50:03.086925	6
2	42430350	211	0		701	2016-05-01 18:01:44.000000	2016-05-01 18:01:43.262002	6
3	25273	201	1		960	2016-05-01 18:06:03.000000	2016-05-01 18:06:03.000000	6
4	25273	66	2		961	2016-05-01 18:06:04.000000	2016-05-01 18:06:03.020276	6
5	4936	14	2		1074	2016-05-01 18:07:57.000000	2016-05-01 18:07:56.486181	6
6	7877	34	2		1093	2016-05-01 18:08:16.000000	2016-05-01 18:08:15.090043	6
7	6722	152	2		1119	2016-05-01 18:08:42.000000	2016-05-01 18:08:41.821614	6
8	6723	281	3		1122	2016-05-01 18:08:45.000000	2016-05-01 18:08:44.399958	6
9	5849918504	131	2		1135	2016-05-01 18:08:58.000000	2016-05-01 18:08:57.452671	6
10	6772	183	2		1139	2016-05-01 18:09:02.000000	2016-05-01 18:09:01.776311	6
11	6210777836	232	3		1158	2016-05-01 18:09:21.000000	2016-05-01 18:09:20.035132	6
12	4850	10	2		1474	2016-05-01 18:14:37.000000	2016-05-01 18:14:36.056821	6
