	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	320.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:55:22.276212	0
1	42430350	192	0		234	2016-05-01 17:59:17.000000	2016-05-01 17:59:16.002514	0
2	21966	53	1		235	2016-05-01 17:59:18.000000	2016-05-01 17:59:17.082420	0
3	4938	15	1		286	2016-05-01 18:00:09.000000	2016-05-01 18:00:08.909937	0
4	11128	43	1		347	2016-05-01 18:01:10.000000	2016-05-01 18:01:29.000000	0
5	11128	166	1		348	2016-05-01 18:01:30.000000	2016-05-01 18:01:29.219516	0
6	4851	272	2		521	2016-05-01 18:04:23.000000	2016-05-01 18:04:22.926718	0
7	9619	197	1		573	2016-05-01 18:05:15.000000	2016-05-01 18:05:15.000000	0
8	9619	41	2		574	2016-05-01 18:05:16.000000	2016-05-01 18:05:15.548206	0
9	2348991701	105	2		706	2016-05-01 18:07:28.000000	2016-05-01 18:07:28.000000	0
10	2348991701	277	2		707	2016-05-01 18:07:29.000000	2016-05-01 18:07:28.292730	0
11	6820	31	1		714	2016-05-01 18:07:36.000000	2016-05-01 18:07:35.566934	0
12	6814895823	138	1		792	2016-05-01 18:08:54.000000	2016-05-01 18:09:20.063844	0
13	805765092	198	1		798	2016-05-01 18:09:27.000000	2016-05-01 18:09:26.377028	0
14	42432580	203	2		800	2016-05-01 18:09:29.000000	2016-05-01 18:09:36.508007	0
15	21047	162	3		837	2016-05-01 18:10:14.000000	2016-05-01 18:10:14.000000	0
16	21047	50	4		838	2016-05-01 18:10:15.000000	2016-05-01 18:10:14.406976	0
17	27166	246	4		953	2016-05-01 18:12:10.000000	2016-05-01 18:12:09.001604	0
18	3977886868	122	3		955	2016-05-01 18:12:12.000000	2016-05-01 18:12:11.050416	0
19	25285	62	3		1052	2016-05-01 18:13:49.000000	2016-05-01 18:13:49.000000	0
20	25285	217	3		1053	2016-05-01 18:13:50.000000	2016-05-01 18:13:49.693352	0
21	3607	190	4		1295	2016-05-01 18:17:52.000000	2016-05-01 18:17:51.418248	0
22	19319	208	5		1469	2016-05-01 18:20:46.000000	2016-05-01 18:20:45.191603	0
23	3955360018	117	6		1471	2016-05-01 18:20:48.000000	2016-05-01 18:20:47.644706	0
24	3997454663	123	6		1659	2016-05-01 18:23:56.000000	2016-05-01 18:23:56.000000	0
25	3997454663	283	6		1660	2016-05-01 18:23:57.000000	2016-05-01 18:23:56.587629	0
26	11267	278	5		1726	2016-05-01 18:25:03.000000	2016-05-01 18:25:02.373467	0
27	7826843771	140	4		1745	2016-05-01 18:25:22.000000	2016-05-01 18:25:22.000000	0
28	7826843771	297	4		1746	2016-05-01 18:25:23.000000	2016-05-01 18:25:22.275900	0
29	5600	270	3		1887	2016-05-01 18:27:44.000000	2016-05-01 18:27:43.267739	0
30	6336	18	2		1898	2016-05-01 18:27:55.000000	2016-05-01 18:27:55.000000	0
31	6336	288	2		1899	2016-05-01 18:27:56.000000	2016-05-01 18:27:55.453884	0
32	23110	242	1		2371	2016-05-01 18:35:48.000000	2016-05-01 18:35:48.000000	0
33	23110	55	0		2372	2016-05-01 18:35:49.000000	2016-05-01 18:35:48.469354	0
34	9499	39	0		2486	2016-05-01 18:37:43.000000	2016-05-01 18:37:42.786029	0
35	42439994	95	0		2487	2016-05-01 18:37:44.000000	2016-05-01 18:37:43.763415	0
36	42428297	313	0		2498	2016-05-01 18:37:55.000000		0
0	42428297	304	0	448.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:57:30.180118	1
1	6775	188	0		32	2016-05-01 17:58:03.000000	2016-05-01 17:59:02.731351	1
2	6786	175	1		86	2016-05-01 17:59:57.000000	2016-05-01 17:59:57.000000	1
3	6786	28	2		87	2016-05-01 17:59:58.000000	2016-05-01 17:59:57.500196	1
4	42439996	96	2		166	2016-05-01 18:01:17.000000	2016-05-01 18:01:16.107523	1
5	8714998591	143	2		259	2016-05-01 18:02:50.000000	2016-05-01 18:02:49.304263	1
6	11117	157	2		326	2016-05-01 18:03:57.000000	2016-05-01 18:03:56.177714	1
7	42443807	255	3		352	2016-05-01 18:04:23.000000	2016-05-01 18:04:22.294705	1
8	561042204	195	2		430	2016-05-01 18:05:41.000000	2016-05-01 18:06:26.241056	1
9	19317	146	3		432	2016-05-01 18:06:29.000000	2016-05-01 18:06:28.012625	1
10	3463817013	111	4		514	2016-05-01 18:07:51.000000	2016-05-01 18:07:50.133021	1
11	25273	159	4		521	2016-05-01 18:07:58.000000	2016-05-01 18:07:57.288160	1
12	2435108444	108	5		544	2016-05-01 18:08:21.000000	2016-05-01 18:08:20.078277	1
13	4938	275	5		560	2016-05-01 18:08:37.000000	2016-05-01 18:08:36.866541	1
14	40587	200	4		576	2016-05-01 18:08:53.000000	2016-05-01 18:08:52.251650	1
15	37531	147	5		758	2016-05-01 18:11:55.000000	2016-05-01 18:11:54.346778	1
16	37533	237	6		760	2016-05-01 18:11:57.000000	2016-05-01 18:11:56.245467	1
17	5235625496	226	5		762	2016-05-01 18:11:59.000000	2016-05-01 18:11:59.000000	1
18	5235625496	130	4		763	2016-05-01 18:12:00.000000	2016-05-01 18:12:00.000000	1
19	5235625496	268	4		764	2016-05-01 18:12:01.000000	2016-05-01 18:12:00.459636	1
20	1954	1	3		1066	2016-05-01 18:17:03.000000	2016-05-01 18:17:02.086620	1
21	26560	67	3		1080	2016-05-01 18:17:17.000000	2016-05-01 18:17:16.289939	1
22	21907	280	3		1109	2016-05-01 18:17:46.000000	2016-05-01 18:17:45.597497	1
23	21908	52	2		1110	2016-05-01 18:17:47.000000	2016-05-01 18:17:46.085509	1
24	6723	239	2		1139	2016-05-01 18:18:16.000000	2016-05-01 18:18:15.144577	1
25	6755	227	1		1144	2016-05-01 18:18:21.000000	2016-05-01 18:18:20.578704	1
26	4782404427	155	0		1290	2016-05-01 18:20:47.000000	2016-05-01 18:20:47.000000	1
27	4782404427	127	1		1291	2016-05-01 18:20:48.000000	2016-05-01 18:20:47.790135	1
28	6794	30	1		1988	2016-05-01 18:32:25.000000	2016-05-01 18:32:24.131059	1
29	8714998591	235	1		2109	2016-05-01 18:34:26.000000	2016-05-01 18:34:25.076627	1
30	26963	69	0		2146	2016-05-01 18:35:03.000000	2016-05-01 18:35:02.089141	1
31	6598535188	136	0		2208	2016-05-01 18:36:05.000000	2016-05-01 18:36:04.309219	1
32	42428297	314	0		2213	2016-05-01 18:36:10.000000		1
0	42428297	305	0	600.0	0	2016-05-01 17:51:01.000000	2016-05-01 18:01:00.853813	2
1	4850	204	0		137	2016-05-01 18:03:18.000000	2016-05-01 18:03:17.555753	2
2	4828	191	1		325	2016-05-01 18:06:26.000000	2016-05-01 18:06:25.570328	2
3	6820	213	2		382	2016-05-01 18:07:23.000000	2016-05-01 18:07:22.402522	2
4	7894	33	3		442	2016-05-01 18:08:23.000000	2016-05-01 18:08:22.177300	2
5	11148	44	3		446	2016-05-01 18:08:27.000000	2016-05-01 18:08:27.000000	2
6	11148	271	3		447	2016-05-01 18:08:28.000000	2016-05-01 18:08:27.756846	2
7	30026	80	2		561	2016-05-01 18:10:22.000000	2016-05-01 18:10:22.000000	2
8	30026	194	2		562	2016-05-01 18:10:23.000000	2016-05-01 18:10:22.279303	2
9	23225	59	3		676	2016-05-01 18:12:17.000000	2016-05-01 18:12:17.000000	2
10	23225	184	3		677	2016-05-01 18:12:18.000000	2016-05-01 18:12:17.356098	2
11	23196	274	4		711	2016-05-01 18:12:52.000000	2016-05-01 18:12:51.459317	2
12	6224278786	133	3		788	2016-05-01 18:14:09.000000	2016-05-01 18:14:09.000000	2
13	6224278786	221	3		789	2016-05-01 18:14:10.000000	2016-05-01 18:14:09.158010	2
14	42439952	94	4		1008	2016-05-01 18:17:49.000000	2016-05-01 18:17:48.510518	2
15	5235625496	284	4		1114	2016-05-01 18:19:35.000000	2016-05-01 18:19:35.000000	2
16	5235625496	264	3		1116	2016-05-01 18:19:37.000000	2016-05-01 18:19:37.000000	2
17	5235625496	293	2		1118	2016-05-01 18:19:39.000000	2016-05-01 18:19:38.497479	2
18	25461	301	1		1509	2016-05-01 18:26:10.000000	2016-05-01 18:26:09.678298	2
19	42428297	315	0		1518	2016-05-01 18:26:19.000000		2
0	42428297	306	0	549.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:59:11.688790	3
1	4936	183	0		39	2016-05-01 17:59:51.000000	2016-05-01 17:59:50.073151	3
2	6724	209	1		56	2016-05-01 18:00:08.000000	2016-05-01 18:00:07.192782	3
3	5849918504	131	2		60	2016-05-01 18:00:12.000000	2016-05-01 18:00:11.136381	3
4	3308681109	109	2		145	2016-05-01 18:01:37.000000	2016-05-01 18:01:37.000000	3
5	3308681109	289	2		146	2016-05-01 18:01:38.000000	2016-05-01 18:02:40.180259	3
6	42439996	193	1		221	2016-05-01 18:03:56.000000	2016-05-01 18:03:55.517934	3
7	9499	182	2		226	2016-05-01 18:04:01.000000	2016-05-01 18:04:00.257995	3
8	4461	9	3		331	2016-05-01 18:05:46.000000	2016-05-01 18:05:45.507468	3
9	42440153	97	3		403	2016-05-01 18:06:58.000000	2016-05-01 18:06:57.016140	3
10	3942050702	113	3		473	2016-05-01 18:08:08.000000	2016-05-01 18:08:07.044540	3
11	26991	150	3		474	2016-05-01 18:08:09.000000	2016-05-01 18:08:08.583427	3
12	5600	16	4		482	2016-05-01 18:08:17.000000	2016-05-01 18:08:16.280984	3
13	100522739	163	4		553	2016-05-01 18:09:28.000000	2016-05-01 18:09:27.198532	3
14	1690450548	152	5		555	2016-05-01 18:09:30.000000	2016-05-01 18:09:29.828819	3
15	11267	45	6		563	2016-05-01 18:09:38.000000	2016-05-01 18:09:37.387168	3
16	3530	4	6		584	2016-05-01 18:09:59.000000	2016-05-01 18:09:58.072639	3
17	6597464530	135	6		598	2016-05-01 18:10:13.000000	2016-05-01 18:10:12.559796	3
18	6718	19	6		614	2016-05-01 18:10:29.000000	2016-05-01 18:10:28.031731	3
19	34340	82	6		681	2016-05-01 18:11:36.000000	2016-05-01 18:11:36.000000	3
20	34340	181	6		682	2016-05-01 18:11:37.000000	2016-05-01 18:11:36.604115	3
21	5634	17	7		703	2016-05-01 18:11:58.000000	2016-05-01 18:11:57.457290	3
22	6723	20	7		706	2016-05-01 18:12:01.000000	2016-05-01 18:12:00.833758	3
23	6753	243	7		710	2016-05-01 18:12:05.000000	2016-05-01 18:12:04.310819	3
24	6755	23	6		711	2016-05-01 18:12:06.000000	2016-05-01 18:12:05.035264	3
25	6776	202	6		717	2016-05-01 18:12:12.000000	2016-05-01 18:12:11.078817	3
26	34311	230	7		724	2016-05-01 18:12:19.000000	2016-05-01 18:12:18.131011	3
27	4936	14	6		727	2016-05-01 18:12:22.000000	2016-05-01 18:12:21.015620	3
28	9416	262	6		816	2016-05-01 18:13:51.000000	2016-05-01 18:13:50.239930	3
29	8038	34	5		849	2016-05-01 18:14:24.000000	2016-05-01 18:14:23.119471	3
30	8051	35	5		1081	2016-05-01 18:18:16.000000	2016-05-01 18:18:16.000000	3
31	8051	205	5		1082	2016-05-01 18:18:17.000000	2016-05-01 18:18:16.583915	3
32	37532	263	6		1275	2016-05-01 18:21:30.000000	2016-05-01 18:21:29.022422	3
33	4631139783	126	5		1276	2016-05-01 18:21:31.000000	2016-05-01 18:21:31.000000	3
34	4631139783	282	5		1277	2016-05-01 18:21:32.000000	2016-05-01 18:21:32.000000	3
35	4631139783	273	4		1279	2016-05-01 18:21:34.000000	2016-05-01 18:21:33.925383	3
36	26308	232	3		1286	2016-05-01 18:21:41.000000	2016-05-01 18:21:41.000000	3
37	26308	66	2		1287	2016-05-01 18:21:42.000000	2016-05-01 18:21:41.269445	3
38	26293	65	2		1369	2016-05-01 18:23:04.000000	2016-05-01 18:23:04.000000	3
39	26293	261	2		1370	2016-05-01 18:23:05.000000	2016-05-01 18:23:04.240545	3
40	6772	25	1		1606	2016-05-01 18:27:01.000000	2016-05-01 18:27:00.044505	3
41	25462	285	1		1616	2016-05-01 18:27:11.000000	2016-05-01 18:27:10.994527	3
42	42428297	316	0		1625	2016-05-01 18:27:20.000000		3
0	42428297	307	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.434686	4
1	4909	13	0		14	2016-05-01 17:50:17.000000	2016-05-01 17:50:16.044276	4
2	6776	27	0		28	2016-05-01 17:50:31.000000	2016-05-01 17:50:30.296843	4
3	6789	29	0		59	2016-05-01 17:51:02.000000	2016-05-01 17:51:01.167462	4
4	100521728	100	0		1097	2016-05-01 18:08:20.000000	2016-05-01 18:08:19.710615	4
5	15769	222	0		1098	2016-05-01 18:08:21.000000	2016-05-01 18:08:21.000000	4
6	15769	46	1		1099	2016-05-01 18:08:22.000000	2016-05-01 18:08:21.174431	4
7	100522739	101	1		1107	2016-05-01 18:08:30.000000	2016-05-01 18:08:29.198532	4
8	1690450548	104	1		1107	2016-05-01 18:08:30.000000	2016-05-01 18:08:29.234063	4
9	19319	49	1		1125	2016-05-01 18:08:48.000000	2016-05-01 18:09:03.000723	4
10	3955360025	215	1		1129	2016-05-01 18:09:08.000000	2016-05-01 18:09:07.121955	4
11	42445917	99	2		1131	2016-05-01 18:09:10.000000	2016-05-01 18:09:09.565923	4
12	3944708032	116	2		1132	2016-05-01 18:09:11.000000	2016-05-01 18:09:10.270629	4
13	7788529741	302	2		1148	2016-05-01 18:09:27.000000	2016-05-01 18:09:39.779503	4
14	42436700	207	1		1463	2016-05-01 18:14:55.000000	2016-05-01 18:14:54.157745	4
15	27162	164	2		1467	2016-05-01 18:14:59.000000	2016-05-01 18:14:59.000000	4
16	27162	73	3		1468	2016-05-01 18:15:00.000000	2016-05-01 18:14:59.829947	4
17	27121	72	3		1471	2016-05-01 18:15:03.000000	2016-05-01 18:15:03.000000	4
18	27121	189	3		1472	2016-05-01 18:15:04.000000	2016-05-01 18:15:03.208971	4
19	4544486780	125	4		1486	2016-05-01 18:15:18.000000	2016-05-01 18:15:17.969585	4
20	27261	77	4		1562	2016-05-01 18:16:34.000000	2016-05-01 18:16:33.103266	4
21	3977886858	121	4		1569	2016-05-01 18:16:41.000000	2016-05-01 18:16:40.706735	4
22	42436700	93	4		1734	2016-05-01 18:19:26.000000	2016-05-01 18:19:25.574722	4
23	27240	76	4		1842	2016-05-01 18:21:14.000000	2016-05-01 18:21:14.000000	4
24	27240	167	4		1843	2016-05-01 18:21:15.000000	2016-05-01 18:21:14.015845	4
25	27213	75	5		1908	2016-05-01 18:22:20.000000	2016-05-01 18:22:19.867730	4
26	42440153	295	5		1910	2016-05-01 18:22:22.000000	2016-05-01 18:22:21.412217	4
27	42432580	92	4		1912	2016-05-01 18:22:24.000000	2016-05-01 18:22:23.395914	4
28	3955372899	119	4		1912	2016-05-01 18:22:24.000000	2016-05-01 18:22:23.097841	4
29	27031	71	4		2003	2016-05-01 18:23:55.000000	2016-05-01 18:23:55.000000	4
30	27031	269	4		2004	2016-05-01 18:23:56.000000	2016-05-01 18:23:55.047968	4
31	3942050702	287	3		2108	2016-05-01 18:25:40.000000	2016-05-01 18:25:39.044540	4
32	26991	70	2		2109	2016-05-01 18:25:41.000000	2016-05-01 18:25:40.754374	4
33	21907	51	2		2186	2016-05-01 18:26:58.000000	2016-05-01 18:26:57.056710	4
34	7883	32	2		2235	2016-05-01 18:27:47.000000	2016-05-01 18:27:47.000000	4
35	7883	247	2		2236	2016-05-01 18:27:48.000000	2016-05-01 18:27:47.175840	4
36	3573482142	112	1		2286	2016-05-01 18:28:38.000000	2016-05-01 18:28:37.683770	4
37	25461	63	1		2286	2016-05-01 18:28:38.000000	2016-05-01 18:28:37.369079	4
38	6598535188	244	1		2289	2016-05-01 18:28:41.000000	2016-05-01 18:28:40.309219	4
39	42428297	317	0		2295	2016-05-01 18:28:47.000000		4
0	42428297	308	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.580570	5
1	6597464486	134	0		0	2016-05-01 17:50:03.000000	2016-05-01 17:59:35.259644	5
2	6718	178	0		31	2016-05-01 18:00:07.000000	2016-05-01 18:06:25.324764	5
3	6772	165	1		69	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.423449	5
4	4207957615	258	2		87	2016-05-01 18:07:22.000000	2016-05-01 18:07:21.028380	5
5	4850	11	1		190	2016-05-01 18:09:05.000000	2016-05-01 18:09:04.685607	5
6	4851	153	1		203	2016-05-01 18:09:18.000000	2016-05-01 18:09:18.000000	5
7	4851	12	2		204	2016-05-01 18:09:19.000000	2016-05-01 18:09:19.000000	5
8	4851	245	2		205	2016-05-01 18:09:20.000000	2016-05-01 18:09:19.007318	5
9	4782404427	216	1		231	2016-05-01 18:09:46.000000	2016-05-01 18:09:45.142573	5
10	38724	88	2		887	2016-05-01 18:20:42.000000	2016-05-01 18:20:41.119532	5
11	40587	296	2		892	2016-05-01 18:20:47.000000	2016-05-01 18:20:46.177862	5
12	18389	233	1		898	2016-05-01 18:20:53.000000	2016-05-01 18:20:53.000000	5
13	18389	47	0		899	2016-05-01 18:20:54.000000	2016-05-01 18:20:53.311587	5
14	42428297	318	0		944	2016-05-01 18:21:39.000000		5
0	42428297	309	0	600.0	0	2016-05-01 17:55:38.000000	2016-05-01 18:05:37.997682	6
1	42430342	174	0		65	2016-05-01 18:06:43.000000	2016-05-01 18:06:42.074475	6
2	3942050705	114	1		319	2016-05-01 18:10:57.000000	2016-05-01 18:10:57.000000	6
3	3942050705	254	1		320	2016-05-01 18:10:58.000000	2016-05-01 18:10:57.065810	6
4	42443807	98	0		422	2016-05-01 18:12:40.000000	2016-05-01 18:13:27.246188	6
5	3944708032	151	0		427	2016-05-01 18:13:33.000000	2016-05-01 18:13:32.270629	6
6	7788529741	139	1		443	2016-05-01 18:13:49.000000	2016-05-01 18:13:48.358009	6
7	4461	199	1		531	2016-05-01 18:15:17.000000	2016-05-01 18:15:16.521845	6
8	23196	58	2		547	2016-05-01 18:15:33.000000	2016-05-01 18:15:32.344575	6
9	3573482142	144	2		576	2016-05-01 18:16:02.000000	2016-05-01 18:16:01.367540	6
10	25462	64	3		577	2016-05-01 18:16:03.000000	2016-05-01 18:16:02.368551	6
11	35126	84	3		640	2016-05-01 18:17:06.000000	2016-05-01 18:17:06.000000	6
12	35126	156	3		641	2016-05-01 18:17:07.000000	2016-05-01 18:17:06.210791	6
13	42430342	90	4		670	2016-05-01 18:17:36.000000	2016-05-01 18:17:35.157191	6
14	22838	54	4		832	2016-05-01 18:20:18.000000	2016-05-01 18:20:18.000000	6
15	22838	224	4		833	2016-05-01 18:20:19.000000	2016-05-01 18:20:18.881904	6
16	3942050712	279	3		1059	2016-05-01 18:24:05.000000	2016-05-01 18:24:04.507554	6
17	11117	42	2		1070	2016-05-01 18:24:16.000000	2016-05-01 18:24:15.370203	6
18	25283	61	2		1170	2016-05-01 18:25:56.000000	2016-05-01 18:25:55.066352	6
19	3976008169	236	2		1179	2016-05-01 18:26:05.000000	2016-05-01 18:26:04.510997	6
20	9506	40	1		1257	2016-05-01 18:27:23.000000	2016-05-01 18:27:23.000000	6
