	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:48.964483	0
1	26560	44	0		1224	2016-05-01 18:11:13.000000	2016-05-01 18:11:12.318794	0
2	5849918504	52	1		1412	2016-05-01 18:14:21.000000	2016-05-01 18:14:20.516358	0
3	27276	72	2		1712	2016-05-01 18:19:21.000000	2016-05-01 18:19:20.305466	0
4	27166	18	1		1889	2016-05-01 18:22:18.000000	2016-05-01 18:22:17.128200	0
5	3607	1	1		1928	2016-05-01 18:22:57.000000	2016-05-01 18:22:56.221247	0
6	26963	64	1		1932	2016-05-01 18:23:01.000000	2016-05-01 18:23:00.601000	0
7	29453	21	0		2336	2016-05-01 18:29:45.000000	2016-05-01 18:29:44.596998	0
8	42428297	90	0		3188	2016-05-01 18:43:57.000000		0
0	42428297	81	0	382.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:57:10.241155	1
1	6724	46	0		101	2016-05-01 17:58:52.000000	2016-05-01 17:58:51.651100	1
2	11128	10	1		259	2016-05-01 18:01:30.000000	2016-05-01 18:01:30.000000	1
3	11128	53	1		260	2016-05-01 18:01:31.000000	2016-05-01 18:01:30.746757	1
4	3308681109	28	2		660	2016-05-01 18:08:11.000000	2016-05-01 18:08:11.000000	1
5	3308681109	66	2		661	2016-05-01 18:08:12.000000	2016-05-01 18:08:11.116694	1
6	27276	20	1		858	2016-05-01 18:11:29.000000	2016-05-01 18:11:28.305466	1
7	27166	73	1		1035	2016-05-01 18:14:26.000000	2016-05-01 18:14:25.128200	1
8	3607	43	0		1076	2016-05-01 18:15:07.000000	2016-05-01 18:15:06.221247	1
9	26963	17	1		1080	2016-05-01 18:15:11.000000	2016-05-01 18:15:10.400026	1
10	3971196627	30	1		1349	2016-05-01 18:19:40.000000	2016-05-01 18:19:39.020825	1
11	27213	19	1		1518	2016-05-01 18:22:29.000000	2016-05-01 18:22:28.159940	1
12	5600	5	1		1747	2016-05-01 18:26:18.000000	2016-05-01 18:26:18.000000	1
13	5600	63	1		1748	2016-05-01 18:26:19.000000	2016-05-01 18:26:18.246667	1
14	100521728	25	0		4441	2016-05-01 19:11:12.000000	2016-05-01 19:11:11.515158	1
15	42428297	91	0		4662	2016-05-01 19:14:53.000000		1
0	42428297	82	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:48.700607	2
1	23225	13	0		646	2016-05-01 18:01:35.000000	2016-05-01 18:01:34.803083	2
2	3971196627	55	0		857	2016-05-01 18:05:06.000000	2016-05-01 18:06:57.563101	2
3	4794775937	50	1		1068	2016-05-01 18:10:29.000000	2016-05-01 18:10:28.266707	2
4	4445	2	2		1158	2016-05-01 18:11:59.000000	2016-05-01 18:11:58.349573	2
5	25273	14	2		1206	2016-05-01 18:12:47.000000	2016-05-01 18:12:47.000000	2
6	25273	75	2		1207	2016-05-01 18:12:48.000000	2016-05-01 18:12:47.123228	2
7	3463813444	70	1		1548	2016-05-01 18:18:29.000000	2016-05-01 18:18:28.117805	2
8	4782404427	33	0		1755	2016-05-01 18:21:56.000000	2016-05-01 18:21:55.316198	2
9	3463813444	29	0		3477	2016-05-01 18:50:38.000000	2016-05-01 18:50:37.650012	2
10	8660596975	39	0		4834	2016-05-01 19:13:15.000000	2016-05-01 19:13:14.675818	2
11	42428297	92	0		4930	2016-05-01 19:14:51.000000		2
0	42428297	83	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:49.000000	3
1	42428297	93	0		0	2016-05-01 17:50:49.000000		3
0	42428297	84	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:49.000000	4
1	42428297	94	0		0	2016-05-01 17:50:49.000000		4
0	42428297	85	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:49.000000	5
1	42428297	95	0		0	2016-05-01 17:50:49.000000		5
0	42428297	86	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:48.170656	6
1	561042204	41	0		752	2016-05-01 18:03:21.000000	2016-05-01 18:09:52.475697	6
2	42445917	57	1		770	2016-05-01 18:10:11.000000	2016-05-01 18:10:10.080320	6
3	4770624001	32	2		869	2016-05-01 18:11:50.000000	2016-05-01 18:11:50.000000	6
4	4770624001	47	2		870	2016-05-01 18:11:51.000000	2016-05-01 18:11:50.287925	6
5	6724	7	3		929	2016-05-01 18:12:50.000000	2016-05-01 18:12:49.426427	6
6	4938	61	3		986	2016-05-01 18:13:47.000000	2016-05-01 18:13:46.311643	6
7	6794	77	2		1180	2016-05-01 18:17:01.000000	2016-05-01 18:17:00.128251	6
8	6820	9	1		1268	2016-05-01 18:18:29.000000	2016-05-01 18:18:28.239490	6
9	42428312	22	1		1324	2016-05-01 18:19:25.000000	2016-05-01 18:19:24.025434	6
10	8714998591	40	1		1541	2016-05-01 18:23:02.000000	2016-05-01 18:23:01.025635	6
11	22819	12	1		1948	2016-05-01 18:29:49.000000	2016-05-01 18:29:49.000000	6
12	22819	67	1		1949	2016-05-01 18:29:50.000000	2016-05-01 18:29:49.821728	6
13	42428297	96	0		2983	2016-05-01 18:47:04.000000		6
0	42428297	87	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:48.304058	7
1	4909	3	0		43	2016-05-01 17:51:32.000000	2016-05-01 17:51:31.647852	7
2	6794	8	0		226	2016-05-01 17:54:35.000000	2016-05-01 17:54:34.612570	7
3	3308681104	27	0		505	2016-05-01 17:59:14.000000	2016-05-01 17:59:13.231565	7
4	4794775937	34	0		672	2016-05-01 18:02:01.000000	2016-05-01 18:02:00.266707	7
5	4445	58	0		762	2016-05-01 18:03:31.000000	2016-05-01 18:03:30.143830	7
6	4544486780	31	1		919	2016-05-01 18:06:08.000000	2016-05-01 18:10:24.000000	7
7	4544486780	42	1		920	2016-05-01 18:10:25.000000	2016-05-01 18:10:24.089693	7
8	561042204	26	2		1444	2016-05-01 18:19:09.000000	2016-05-01 18:19:08.475697	7
9	42445917	24	2		1460	2016-05-01 18:19:25.000000	2016-05-01 18:19:24.506847	7
10	21908	11	2		1524	2016-05-01 18:20:29.000000	2016-05-01 18:20:29.000000	7
11	21908	78	2		1525	2016-05-01 18:20:30.000000	2016-05-01 18:20:29.434914	7
12	6722	6	1		1611	2016-05-01 18:21:56.000000	2016-05-01 18:21:55.095398	7
13	4909	62	1		1726	2016-05-01 18:23:51.000000	2016-05-01 18:23:50.563034	7
14	42428297	97	0		1812	2016-05-01 18:25:17.000000		7
