param_set	bustakers_fraction	cap_vehicles	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed	num_trips	A	B	unserviced	mean_excess_time	critical_income	a_bar	b_bar
21	0.8	8	1.4	10	5	0.8	15	80	6	0	6	344.0	130600.0	0.133	0.867
22	0.6	8	1.8	10	5	0.6	15	60	6	0	4	355.7	126300.0	0.143	0.857
23	0.4	8	2.2	10	5	0.4	15	40	6	0	3	279.6	160700.0	0.079	0.921
24	0.2	8	2.6	10	5	0.2	15	20	6	0	2	248.3	180900.0	0.057	0.943
25	1.0	8	1.0	10	6	1.0	16	100	6	0	6	359.8	124900.0	0.147	0.853
26	0.8	8	1.4	10	6	0.8	16	80	6	0	5	356.9	125900.0	0.144	0.856
27	0.6	8	1.8	10	6	0.6	16	60	6	0	7	348.3	129000.0	0.136	0.864
28	0.4	8	2.2	10	6	0.4	16	40	6	0	4	236.4	190100.0	0.049	0.951
29	0.2	8	2.6	10	6	0.2	16	20	6	0	1	162.8	276000.0	0.015	0.985
30	1.0	8	1.0	10	7	1.0	17	100	6	0	3	389.5	115300.0	0.174	0.826
31	0.8	8	1.4	10	7	0.8	17	80	6	0	5	361.9	124100.0	0.149	0.851
32	0.6	8	1.8	10	7	0.6	17	60	6	0	6	312.5	143800.0	0.105	0.895
33	0.4	8	2.2	10	7	0.4	17	40	6	0	4	284.9	157700.0	0.083	0.917
34	0.2	8	2.6	10	7	0.2	17	20	6	0	1	132.7	338700.0	0.007	0.993
35	1.0	8	1.0	10	8	1.0	18	100	6	0	3	375.5	119600.0	0.161	0.839
36	0.8	8	1.4	10	8	0.8	18	80	6	0	3	320.6	140100.0	0.112	0.888
37	0.6	8	1.8	10	8	0.6	18	60	6	0	4	299.9	149800.0	0.095	0.905
38	0.4	8	2.2	10	8	0.4	18	40	6	0	3	208.7	215300.0	0.034	0.966
39	0.2	8	2.6	10	8	0.2	18	20	6	0	1	284.8	157700.0	0.083	0.917
40	1.0	8	1.0	10	9	1.0	19	100	6	0	1	376.9	119200.0	0.163	0.837
41	0.8	8	1.4	10	9	0.8	19	80	6	0	8	352.0	127600.0	0.14	0.86
42	0.6	8	1.8	10	9	0.6	19	60	6	0	6	222.1	202300.0	0.041	0.959
43	0.4	8	2.2	10	9	0.4	19	40	6	0	6	206.0	218100.0	0.032	0.968
44	0.2	8	2.6	10	9	0.2	19	20	6	0	1	167.8	267700.0	0.016	0.984
