param_set	cap_vehicles	focus_radius	max_trips	num_vehicles	solver_solution_limit	num_trips
204	1	2000	100	40	1	100
205	8	2000	100	40	1	100
206	1	2000	100	80	1	100
207	8	2000	100	80	1	100
208	1	2000	200	10	1	200
209	8	2000	200	10	1	200
210	1	2000	200	20	1	200
211	8	2000	200	20	1	200
212	1	2000	200	40	1	200
213	8	2000	200	40	1	200
214	1	2000	200	80	1	200
215	8	2000	200	80	1	200
216	1	2000	400	10	1	400
217	8	2000	400	10	1	400
218	1	2000	400	20	1	400
219	8	2000	400	20	1	400
220	1	2000	400	40	1	400
221	8	2000	400	40	1	400
222	1	2000	400	80	1	400
223	8	2000	400	80	1	400
224	1	2000	10	10	10	10
225	8	2000	10	10	10	10
226	1	2000	10	20	10	10
227	8	2000	10	20	10	10
228	1	2000	10	40	10	10
229	8	2000	10	40	10	10
230	1	2000	10	80	10	10
231	8	2000	10	80	10	10
232	1	2000	100	10	10	100
233	8	2000	100	10	10	100
234	1	2000	100	20	10	100
235	8	2000	100	20	10	100
236	1	2000	100	40	10	100
237	8	2000	100	40	10	100
238	1	2000	100	80	10	100
239	8	2000	100	80	10	100
240	1	2000	200	10	10	200
241	8	2000	200	10	10	200
242	1	2000	200	20	10	200
243	8	2000	200	20	10	200
244	1	2000	200	40	10	200
245	8	2000	200	40	10	200
246	1	2000	200	80	10	200
247	8	2000	200	80	10	200
248	1	2000	400	10	10	400
249	8	2000	400	10	10	400
250	1	2000	400	20	10	400
251	8	2000	400	20	10	400
252	1	2000	400	40	10	400
253	8	2000	400	40	10	400
254	1	2000	400	80	10	400
255	8	2000	400	80	10	400
256	1	2000	10	10	100	10
257	8	2000	10	10	100	10
258	1	2000	10	20	100	10
259	8	2000	10	20	100	10
260	1	2000	10	40	100	10
261	8	2000	10	40	100	10
262	1	2000	10	80	100	10
263	8	2000	10	80	100	10
264	1	2000	100	10	100	100
265	8	2000	100	10	100	100
266	1	2000	100	20	100	100
267	8	2000	100	20	100	100
268	1	2000	100	40	100	100
269	8	2000	100	40	100	100
270	1	2000	100	80	100	100
271	8	2000	100	80	100	100
272	1	2000	200	10	100	200
273	8	2000	200	10	100	200
274	1	2000	200	20	100	200
275	8	2000	200	20	100	200
276	1	2000	200	40	100	200
277	8	2000	200	40	100	200
278	1	2000	200	80	100	200
279	8	2000	200	80	100	200
280	1	2000	400	10	100	400
281	8	2000	400	10	100	400
282	1	2000	400	20	100	400
283	8	2000	400	20	100	400
284	1	2000	400	40	100	400
285	8	2000	400	40	100	400
286	1	2000	400	80	100	400
287	8	2000	400	80	100	400
288	1	2000	10	10	1000	10
289	8	2000	10	10	1000	10
290	1	2000	10	20	1000	10
291	8	2000	10	20	1000	10
292	1	2000	10	40	1000	10
293	8	2000	10	40	1000	10
294	1	2000	10	80	1000	10
295	8	2000	10	80	1000	10
296	1	2000	100	10	1000	100
297	8	2000	100	10	1000	100
298	1	2000	100	20	1000	100
299	8	2000	100	20	1000	100
300	1	2000	100	40	1000	100
301	8	2000	100	40	1000	100
302	1	2000	100	80	1000	100
303	8	2000	100	80	1000	100
304	1	2000	200	10	1000	200
305	8	2000	200	10	1000	200
306	1	2000	200	20	1000	200
307	8	2000	200	20	1000	200
308	1	2000	200	40	1000	200
309	8	2000	200	40	1000	200
310	1	2000	200	80	1000	200
311	8	2000	200	80	1000	200
312	1	2000	400	10	1000	400
313	8	2000	400	10	1000	400
314	1	2000	400	20	1000	400
315	8	2000	400	20	1000	400
316	1	2000	400	40	1000	400
317	8	2000	400	40	1000	400
318	1	2000	400	80	1000	400
319	8	2000	400	80	1000	400
