	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.093956	0
1	4905	17	0		5	2016-05-01 17:50:08.000000	2016-05-01 17:50:07.819164	0
2	4909	18	0		15	2016-05-01 17:50:18.000000	2016-05-01 17:57:49.758677	0
3	6775	179	0		28	2016-05-01 17:58:03.000000	2016-05-01 17:58:02.280024	0
4	23164	75	1		157	2016-05-01 18:00:12.000000	2016-05-01 18:00:11.395741	0
5	11128	57	1		418	2016-05-01 18:04:33.000000	2016-05-01 18:04:33.000000	0
6	11128	197	1		419	2016-05-01 18:04:34.000000	2016-05-01 18:04:33.345435	0
7	6598535230	189	2		461	2016-05-01 18:05:16.000000	2016-05-01 18:05:15.212541	0
8	42430350	118	3		471	2016-05-01 18:05:26.000000	2016-05-01 18:05:25.002395	0
9	27166	297	3		480	2016-05-01 18:05:35.000000	2016-05-01 18:05:56.142799	0
10	6224277860	228	2		550	2016-05-01 18:07:07.000000	2016-05-01 18:07:07.000000	0
11	6224277860	167	3		551	2016-05-01 18:07:08.000000	2016-05-01 18:07:07.962331	0
12	6224278786	168	3		577	2016-05-01 18:07:34.000000	2016-05-01 18:07:34.000000	0
13	6224278786	230	3		578	2016-05-01 18:07:35.000000	2016-05-01 18:07:34.107539	0
14	37531	229	4		684	2016-05-01 18:09:21.000000	2016-05-01 18:09:20.240899	0
15	37532	289	5		686	2016-05-01 18:09:23.000000	2016-05-01 18:09:22.849672	0
16	5235625496	279	4		689	2016-05-01 18:09:26.000000	2016-05-01 18:09:25.890206	0
17	1954	213	3		733	2016-05-01 18:10:10.000000	2016-05-01 18:10:09.859001	0
18	4886228959	217	4		736	2016-05-01 18:10:13.000000	2016-05-01 18:10:12.220857	0
19	26560	220	5		764	2016-05-01 18:10:41.000000	2016-05-01 18:10:40.880384	0
20	35126	110	6		782	2016-05-01 18:10:59.000000	2016-05-01 18:10:58.021796	0
21	1992	233	6		827	2016-05-01 18:11:44.000000	2016-05-01 18:11:43.488886	0
22	6755	329	7		898	2016-05-01 18:12:55.000000	2016-05-01 18:12:54.472966	0
23	6772	226	6		901	2016-05-01 18:12:58.000000	2016-05-01 18:12:57.109386	0
24	4850	15	7		1036	2016-05-01 18:15:13.000000	2016-05-01 18:15:12.601243	0
25	4851	16	7		1036	2016-05-01 18:15:13.000000	2016-05-01 18:15:13.000000	0
26	4851	326	7		1037	2016-05-01 18:15:14.000000	2016-05-01 18:15:13.411507	0
27	9619	55	6		1039	2016-05-01 18:15:16.000000	2016-05-01 18:15:15.086801	0
28	4461	13	6		1086	2016-05-01 18:16:03.000000	2016-05-01 18:16:03.000000	0
29	4461	252	6		1087	2016-05-01 18:16:04.000000	2016-05-01 18:16:03.992852	0
30	3308681104	136	7		1169	2016-05-01 18:17:26.000000	2016-05-01 18:17:26.000000	0
31	3308681104	328	7		1170	2016-05-01 18:17:27.000000	2016-05-01 18:17:26.710070	0
32	25285	250	6		1198	2016-05-01 18:17:55.000000	2016-05-01 18:17:55.000000	0
33	25285	82	7		1199	2016-05-01 18:17:56.000000	2016-05-01 18:17:55.705231	0
34	4544486780	156	7		1276	2016-05-01 18:19:13.000000	2016-05-01 18:19:12.159991	0
35	27261	313	7		1281	2016-05-01 18:19:18.000000	2016-05-01 18:19:17.627692	0
36	3977886858	151	6		1282	2016-05-01 18:19:19.000000	2016-05-01 18:19:18.169603	0
37	42436700	278	6		1284	2016-05-01 18:19:21.000000	2016-05-01 18:19:20.157745	0
38	27162	269	7		1288	2016-05-01 18:19:25.000000	2016-05-01 18:19:25.000000	0
39	27162	99	8		1289	2016-05-01 18:19:26.000000	2016-05-01 18:19:25.105471	0
40	27121	96	8		1291	2016-05-01 18:19:28.000000	2016-05-01 18:19:27.040898	0
41	26963	320	8		1330	2016-05-01 18:20:07.000000	2016-05-01 18:20:06.564983	0
42	3607	263	7		1346	2016-05-01 18:20:23.000000	2016-05-01 18:20:22.450306	0
43	8757	49	8		1405	2016-05-01 18:21:22.000000	2016-05-01 18:21:22.000000	0
44	8757	317	8		1406	2016-05-01 18:21:23.000000	2016-05-01 18:21:22.741468	0
45	8762	50	7		1415	2016-05-01 18:21:32.000000	2016-05-01 18:21:32.000000	0
46	8762	333	7		1416	2016-05-01 18:21:33.000000	2016-05-01 18:21:32.179348	0
47	25461	330	6		1621	2016-05-01 18:24:58.000000	2016-05-01 18:24:57.362883	0
48	3942050712	352	5		1678	2016-05-01 18:25:55.000000	2016-05-01 18:25:54.945815	0
49	11117	56	4		1680	2016-05-01 18:25:57.000000	2016-05-01 18:25:56.547870	0
50	3942050702	378	4		1683	2016-05-01 18:26:00.000000	2016-05-01 18:25:59.620979	0
51	7826843771	350	3		1691	2016-05-01 18:26:08.000000	2016-05-01 18:26:07.039242	0
52	5600	363	2		1796	2016-05-01 18:27:53.000000	2016-05-01 18:27:53.000000	0
53	5600	21	1		1797	2016-05-01 18:27:54.000000	2016-05-01 18:27:53.707524	0
