	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	600.0	0	2016-05-01 17:52:03.000000	2016-05-01 18:02:02.721454	0
1	4905	217	0		17	2016-05-01 18:02:20.000000	2016-05-01 18:02:19.188724	0
2	6760	25	1		151	2016-05-01 18:04:34.000000	2016-05-01 18:04:33.552920	0
3	6718	193	1		217	2016-05-01 18:05:40.000000	2016-05-01 18:05:39.361371	0
4	5634	221	2		344	2016-05-01 18:07:47.000000	2016-05-01 18:07:46.494845	0
5	4207957615	273	3		422	2016-05-01 18:09:05.000000	2016-05-01 18:09:04.348836	0
6	4828	10	2		446	2016-05-01 18:09:29.000000	2016-05-01 18:09:28.141071	0
7	6804	32	2		661	2016-05-01 18:13:04.000000	2016-05-01 18:13:04.000000	0
8	6804	297	2		662	2016-05-01 18:13:05.000000	2016-05-01 18:13:04.307234	0
9	6597464486	211	1		817	2016-05-01 18:15:40.000000	2016-05-01 18:15:39.724815	0
10	27146	82	2		826	2016-05-01 18:15:49.000000	2016-05-01 18:15:48.074127	0
11	7883	35	2		977	2016-05-01 18:18:20.000000	2016-05-01 18:18:19.764564	0
12	7894	291	2		1049	2016-05-01 18:19:32.000000	2016-05-01 18:19:31.062230	0
13	6820	33	1		1339	2016-05-01 18:24:22.000000	2016-05-01 18:24:21.190898	0
14	4457	9	1		1377	2016-05-01 18:25:00.000000	2016-05-01 18:25:00.000000	0
15	4457	301	1		1378	2016-05-01 18:25:01.000000	2016-05-01 18:25:00.011174	0
16	9499	43	0		1627	2016-05-01 18:29:10.000000	2016-05-01 18:29:09.648333	0
17	42428297	312	0		1664	2016-05-01 18:29:47.000000		0
0	42428297	303	0	600.0	0	2016-05-01 17:50:16.000000	2016-05-01 18:00:15.862697	1
1	30026	212	0		306	2016-05-01 18:05:22.000000	2016-05-01 18:06:24.837910	1
2	23225	144	1		649	2016-05-01 18:12:08.000000	2016-05-01 18:12:07.068293	1
3	23196	292	2		748	2016-05-01 18:13:47.000000	2016-05-01 18:13:46.655231	1
4	8704367787	141	1		1092	2016-05-01 18:19:31.000000	2016-05-01 18:19:31.000000	1
5	8704367787	156	1		1093	2016-05-01 18:19:32.000000	2016-05-01 18:19:31.162793	1
6	3705	7	2		1535	2016-05-01 18:26:54.000000	2016-05-01 18:26:53.165187	1
7	37532	94	2		2254	2016-05-01 18:38:53.000000	2016-05-01 18:38:52.756569	1
8	5235625496	236	2		2258	2016-05-01 18:38:57.000000	2016-05-01 18:38:57.000000	1
9	5235625496	224	1		2260	2016-05-01 18:38:59.000000	2016-05-01 18:38:58.377866	1
10	42428297	313	0		3389	2016-05-01 18:57:48.000000		1
0	42428297	304	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.561438	2
1	4850	11	0		408	2016-05-01 17:56:51.000000	2016-05-01 17:56:50.056821	2
2	4851	12	0		444	2016-05-01 17:57:27.000000	2016-05-01 17:57:26.780153	2
3	9619	45	0		594	2016-05-01 17:59:57.000000	2016-05-01 17:59:57.000000	2
4	9619	175	0		595	2016-05-01 17:59:58.000000	2016-05-01 17:59:57.644618	2
5	2348991701	109	1		993	2016-05-01 18:06:36.000000	2016-05-01 18:06:36.000000	2
6	2348991701	255	1		994	2016-05-01 18:06:37.000000	2016-05-01 18:06:36.179501	2
7	40587	218	0		1177	2016-05-01 18:09:40.000000	2016-05-01 18:09:39.533587	2
8	18389	52	1		1192	2016-05-01 18:09:55.000000	2016-05-01 18:09:54.420257	2
9	2351532382	110	1		1250	2016-05-01 18:10:53.000000	2016-05-01 18:10:52.037955	2
10	4770624001	128	1		1280	2016-05-01 18:11:23.000000	2016-05-01 18:11:22.047536	2
