	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.080162	0
1	6820	13	0		314	2016-05-01 17:56:06.000000	2016-05-01 17:56:05.116685	0
2	7826843771	39	0		797	2016-05-01 18:04:09.000000	2016-05-01 18:04:08.691628	0
3	100522739	28	0		1160	2016-05-01 18:10:12.000000	2016-05-01 18:10:12.000000	0
4	100522739	59	0		1161	2016-05-01 18:10:13.000000	2016-05-01 18:10:12.005324	0
5	4794775937	35	1		1431	2016-05-01 18:14:43.000000	2016-05-01 18:14:43.000000	0
6	4794775937	56	1		1432	2016-05-01 18:14:44.000000	2016-05-01 18:14:43.739509	0
7	3463813444	32	2		1911	2016-05-01 18:22:43.000000	2016-05-01 18:22:43.000000	0
8	3463813444	76	2		1912	2016-05-01 18:22:44.000000	2016-05-01 18:22:43.802145	0
9	6753	79	1		2171	2016-05-01 18:27:03.000000	2016-05-01 18:27:02.468452	0
10	42428297	89	0		2232	2016-05-01 18:28:04.000000		0
0	42428297	80	0	600.0	0	2016-05-01 18:04:36.000000	2016-05-01 18:14:35.466526	1
1	27146	55	0		10	2016-05-01 18:14:46.000000	2016-05-01 18:14:45.629320	1
2	8757	14	1		753	2016-05-01 18:27:09.000000	2016-05-01 18:27:08.116246	1
3	561042204	29	1		815	2016-05-01 18:28:11.000000	2016-05-01 18:28:10.754941	1
4	19318	75	1		819	2016-05-01 18:28:15.000000	2016-05-01 18:28:14.304393	1
5	42428297	90	0		989	2016-05-01 18:31:05.000000		1
0	42428297	81	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.246885	2
1	6598535230	38	0		153	2016-05-01 17:53:25.000000	2016-05-01 17:53:24.394019	2
2	42428297	91	0		1158	2016-05-01 18:10:10.000000		2
0	42428297	82	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.721454	3
1	4905	4	0		16	2016-05-01 17:51:08.000000	2016-05-01 17:51:07.103953	3
2	9619	15	0		578	2016-05-01 18:00:30.000000	2016-05-01 18:00:30.000000	3
3	9619	43	0		579	2016-05-01 18:00:31.000000	2016-05-01 18:00:30.644618	3
4	2348991701	30	1		977	2016-05-01 18:07:09.000000	2016-05-01 18:07:09.000000	3
5	2348991701	63	1		978	2016-05-01 18:07:10.000000	2016-05-01 18:07:09.878189	3
6	6820	57	0		1000	2016-05-01 18:07:32.000000	2016-05-01 18:07:31.264362	3
7	4461	3	1		1033	2016-05-01 18:08:05.000000	2016-05-01 18:08:04.036951	3
8	40587	50	1		1162	2016-05-01 18:10:14.000000	2016-05-01 18:10:13.006294	3
9	6760	9	2		1252	2016-05-01 18:11:44.000000	2016-05-01 18:11:43.033041	3
