	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	600.0	0	2016-05-01 18:04:13.000000	2016-05-01 18:14:12.669673	0
1	8704367786	589	0		86	2016-05-01 18:15:39.000000	2016-05-01 18:15:38.414617	0
2	12409	897	1		218	2016-05-01 18:17:51.000000	2016-05-01 18:19:22.405418	0
3	25280	606	0		266	2016-05-01 18:20:11.000000	2016-05-01 18:20:10.977656	0
4	3573482144	914	1		422	2016-05-01 18:22:47.000000	2016-05-01 18:22:46.784407	0
5	3606	627	0		578	2016-05-01 18:25:23.000000	2016-05-01 18:25:31.090173	0
6	25270	650	1		649	2016-05-01 18:26:43.000000	2016-05-01 18:26:42.584206	0
7	593921845	958	2		901	2016-05-01 18:30:55.000000	2016-05-01 18:30:54.551583	0
8	23199	935	1		1200	2016-05-01 18:35:54.000000	2016-05-01 18:35:53.502546	0
9	42428297	1142	0		1410	2016-05-01 18:39:24.000000		0
0	42428297	1103	0	600.0	0	2016-05-01 18:09:04.000000	2016-05-01 18:19:03.489292	1
1	23213	607	0		84	2016-05-01 18:20:28.000000	2016-05-01 18:20:27.042026	1
2	8646554909	915	1		150	2016-05-01 18:21:34.000000	2016-05-01 18:22:59.186147	1
3	6751	649	0		365	2016-05-01 18:26:35.000000	2016-05-01 18:26:34.596894	1
4	9499	957	1		494	2016-05-01 18:28:44.000000	2016-05-01 18:28:43.334301	1
5	27047	636	0		642	2016-05-01 18:31:12.000000	2016-05-01 18:31:11.592177	1
6	6786	944	1		866	2016-05-01 18:34:56.000000	2016-05-01 18:34:55.676059	1
7	3530	707	0		1263	2016-05-01 18:41:33.000000	2016-05-01 18:41:32.112525	1
8	25286	1015	1		1322	2016-05-01 18:42:32.000000	2016-05-01 18:42:31.155295	1
9	42428297	1143	0		1588	2016-05-01 18:46:58.000000		1
0	42428297	1104	0	600.0	0	2016-05-01 18:00:23.000000	2016-05-01 18:10:22.526985	2
1	27121	561	0		84	2016-05-01 18:11:47.000000	2016-05-01 18:11:46.751913	2
2	27031	869	1		115	2016-05-01 18:12:18.000000	2016-05-01 18:18:52.379665	2
3	11279	599	0		135	2016-05-01 18:19:13.000000	2016-05-01 18:19:12.576466	2
4	6335	907	1		313	2016-05-01 18:22:11.000000	2016-05-01 18:22:10.573680	2
5	4770624003	605	0		374	2016-05-01 18:23:12.000000	2016-05-01 18:23:11.325975	2
