	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	458.0	0	2016-05-01 17:50:23.000000	2016-05-01 17:58:00.671036	0
1	27051	166	0		120	2016-05-01 18:00:01.000000	2016-05-01 18:00:00.903209	0
2	21047	55	1		292	2016-05-01 18:02:53.000000	2016-05-01 18:10:13.000000	0
3	21047	171	1		293	2016-05-01 18:10:14.000000	2016-05-01 18:10:13.312993	0
4	26967	246	2		499	2016-05-01 18:13:40.000000	2016-05-01 18:13:39.522871	0
5	3607	164	1		543	2016-05-01 18:14:24.000000	2016-05-01 18:14:23.334441	0
6	805765092	204	2		587	2016-05-01 18:15:08.000000	2016-05-01 18:15:07.603936	0
7	11267	284	3		628	2016-05-01 18:15:49.000000	2016-05-01 18:15:48.245061	0
8	3944708032	116	2		712	2016-05-01 18:17:13.000000	2016-05-01 18:17:13.000000	0
9	3944708032	214	2		713	2016-05-01 18:17:14.000000	2016-05-01 18:17:13.041250	0
10	9506	45	3		1231	2016-05-01 18:25:52.000000	2016-05-01 18:25:52.000000	0
11	9506	294	3		1232	2016-05-01 18:25:53.000000	2016-05-01 18:25:52.823838	0
12	5600	244	2		1558	2016-05-01 18:31:19.000000	2016-05-01 18:31:19.000000	0
13	5600	17	1		1559	2016-05-01 18:31:20.000000	2016-05-01 18:31:19.190533	0
14	11328	49	1		1658	2016-05-01 18:32:59.000000	2016-05-01 18:32:58.177016	0
15	23110	61	1		2003	2016-05-01 18:38:44.000000	2016-05-01 18:38:44.000000	0
16	23110	251	1		2004	2016-05-01 18:38:45.000000	2016-05-01 18:38:44.223073	0
17	6786	28	0		2041	2016-05-01 18:39:22.000000	2016-05-01 18:39:21.108658	0
18	42439996	99	0		2116	2016-05-01 18:40:37.000000	2016-05-01 18:40:36.183625	0
19	42439994	98	0		2194	2016-05-01 18:41:55.000000	2016-05-01 18:41:54.452209	0
20	42428297	316	0		2306	2016-05-01 18:43:47.000000		0
0	42428297	307	0	0.0	0	2016-05-01 17:50:23.000000	2016-05-01 17:50:22.603909	1
1	27123	79	0		96	2016-05-01 17:51:59.000000	2016-05-01 17:51:58.002243	1
2	4794775937	131	0		170	2016-05-01 17:53:13.000000	2016-05-01 17:53:12.416097	1
3	29453	85	0		207	2016-05-01 17:53:50.000000	2016-05-01 17:58:48.000000	1
4	29453	192	0		208	2016-05-01 17:58:49.000000	2016-05-01 17:58:48.199906	1
5	27240	83	1		295	2016-05-01 18:00:16.000000	2016-05-01 18:01:53.141289	1
6	3539	223	1		508	2016-05-01 18:05:27.000000	2016-05-01 18:05:26.229554	1
7	27213	272	2		571	2016-05-01 18:06:30.000000	2016-05-01 18:06:29.346206	1
8	3955372899	178	1		577	2016-05-01 18:06:36.000000	2016-05-01 18:06:35.933238	1
9	19317	201	2		706	2016-05-01 18:08:45.000000	2016-05-01 18:08:47.026006	1
10	27077	160	3		749	2016-05-01 18:09:31.000000	2016-05-01 18:09:31.000000	1
11	27077	78	4		750	2016-05-01 18:09:32.000000	2016-05-01 18:09:31.516262	1
12	8052	170	4		962	2016-05-01 18:13:04.000000	2016-05-01 18:13:03.803535	1
13	37531	155	5		969	2016-05-01 18:13:11.000000	2016-05-01 18:13:10.326799	1
14	5235625496	281	6		973	2016-05-01 18:13:15.000000	2016-05-01 18:13:14.538830	1
15	26560	210	5		1036	2016-05-01 18:14:18.000000	2016-05-01 18:14:17.097576	1
16	6723	290	6		1133	2016-05-01 18:15:55.000000	2016-05-01 18:15:54.449892	1
17	6755	235	5		1191	2016-05-01 18:16:53.000000	2016-05-01 18:16:52.517573	1
18	5849918504	176	4		1193	2016-05-01 18:16:55.000000	2016-05-01 18:16:54.384903	1
19	6787	240	5		1235	2016-05-01 18:17:37.000000	2016-05-01 18:17:36.144941	1
20	9499	44	4		1363	2016-05-01 18:19:45.000000	2016-05-01 18:19:44.420774	1
21	42439994	212	4		1384	2016-05-01 18:20:06.000000	2016-05-01 18:20:05.247765	1
22	4207957615	126	5		1469	2016-05-01 18:21:31.000000	2016-05-01 18:21:30.728070	1
23	6789	250	5		1476	2016-05-01 18:21:38.000000	2016-05-01 18:21:37.169634	1
24	23428	303	4		1630	2016-05-01 18:24:12.000000	2016-05-01 18:24:11.364092	1
25	27276	256	3		1656	2016-05-01 18:24:38.000000	2016-05-01 18:24:37.264140	1
26	4936	15	2		1782	2016-05-01 18:26:44.000000	2016-05-01 18:26:43.667081	1
27	4938	16	2		1803	2016-05-01 18:27:05.000000	2016-05-01 18:27:04.197920	1
28	2351532382	109	2		1970	2016-05-01 18:29:52.000000	2016-05-01 18:29:52.000000	1
29	2351532382	258	2		1971	2016-05-01 18:29:53.000000	2016-05-01 18:29:52.594628	1
30	6760	25	1		2121	2016-05-01 18:32:23.000000	2016-05-01 18:32:23.000000	1
31	6760	292	1		2122	2016-05-01 18:32:24.000000	2016-05-01 18:32:23.217369	1
32	42428297	317	0		2189	2016-05-01 18:33:31.000000		1
0	42428297	308	0	0.0	0	2016-05-01 17:50:23.000000	2016-05-01 17:50:22.383350	2
1	6598535230	141	0		68	2016-05-01 17:51:31.000000	2016-05-01 17:51:30.588179	2
2	6814895823	142	0		201	2016-05-01 17:53:44.000000	2016-05-01 17:53:43.385819	2
3	3977886225	121	0		216	2016-05-01 17:53:59.000000	2016-05-01 17:53:58.579112	2
4	42440153	100	0		222	2016-05-01 17:54:05.000000	2016-05-01 17:54:04.005573	2
5	3558	5	0		391	2016-05-01 17:56:54.000000	2016-05-01 17:58:26.000000	2
6	3558	180	0		392	2016-05-01 17:58:27.000000	2016-05-01 17:59:00.609422	2
7	42430350	156	1		408	2016-05-01 17:59:17.000000	2016-05-01 17:59:16.348169	2
8	4544486780	127	2		425	2016-05-01 17:59:34.000000	2016-05-01 17:59:33.118140	2
9	11117	196	2		454	2016-05-01 18:00:03.000000	2016-05-01 18:00:02.010073	2
10	3942050705	114	3		457	2016-05-01 18:00:06.000000	2016-05-01 18:00:05.626316	2
11	7826843771	143	3		466	2016-05-01 18:00:15.000000	2016-05-01 18:00:14.150545	2
12	100522739	103	3		612	2016-05-01 18:02:41.000000	2016-05-01 18:02:40.552432	2
13	1690450548	106	3		622	2016-05-01 18:02:51.000000	2016-05-01 18:02:51.000000	2
