	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	0
1	42428297	59	0		0	2016-05-01 17:50:00.000000		0
0	42428297	40	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	1
1	42428297	60	0		0	2016-05-01 17:50:00.000000		1
0	42428297	41	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	2
1	42428297	61	0		0	2016-05-01 17:50:00.000000		2
0	42428297	42	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	3
1	42428297	62	0		0	2016-05-01 17:50:00.000000		3
0	42428297	43	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	4
1	42428297	63	0		0	2016-05-01 17:50:00.000000		4
0	42428297	44	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	5
1	42428297	64	0		0	2016-05-01 17:50:00.000000		5
0	42428297	45	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	6
1	42428297	65	0		0	2016-05-01 17:50:00.000000		6
0	42428297	46	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	7
1	42428297	66	0		0	2016-05-01 17:50:00.000000		7
0	42428297	47	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	8
1	42428297	67	0		0	2016-05-01 17:50:00.000000		8
0	42428297	48	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	9
1	42428297	68	0		0	2016-05-01 17:50:00.000000		9
0	42428297	49	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	10
1	42428297	69	0		0	2016-05-01 17:50:00.000000		10
0	42428297	50	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	11
1	42428297	70	0		0	2016-05-01 17:50:00.000000		11
0	42428297	51	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:50:00.000000	12
1	42428297	71	0		0	2016-05-01 17:50:00.000000		12
0	42428297	52	0	196.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:53:15.288609	13
1	41691	27	0		288	2016-05-01 17:58:04.000000	2016-05-01 17:58:03.254918	13
2	13899	37	1		469	2016-05-01 18:01:05.000000	2016-05-01 18:01:04.819551	13
3	42428297	72	0		885	2016-05-01 18:08:01.000000		13
0	42428297	53	0	273.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:54:32.215448	14
1	40584	21	0		208	2016-05-01 17:58:01.000000	2016-05-01 17:58:00.883125	14
2	6011	31	1		659	2016-05-01 18:05:32.000000	2016-05-01 18:05:31.215952	14
3	42428297	73	0		1159	2016-05-01 18:13:52.000000		14
0	42428297	54	0	297.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:54:56.108652	15
1	8119462472	26	0		187	2016-05-01 17:58:04.000000	2016-05-01 17:58:03.614987	15
2	13280	36	1		344	2016-05-01 18:00:41.000000	2016-05-01 18:00:40.782178	15
3	5635	23	0		584	2016-05-01 18:04:41.000000	2016-05-01 18:04:40.614349	15
4	19969	33	1		706	2016-05-01 18:06:43.000000	2016-05-01 18:06:42.242958	15
5	42428297	74	0		873	2016-05-01 18:09:30.000000		15
0	42428297	55	0	326.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:55:25.832635	16
1	8043	24	0		156	2016-05-01 17:58:02.000000	2016-05-01 17:58:01.801090	16
2	12604	34	1		385	2016-05-01 18:01:51.000000	2016-05-01 18:01:50.824858	16
3	1926	22	0		515	2016-05-01 18:04:01.000000	2016-05-01 18:04:00.091964	16
4	5235625496	32	1		778	2016-05-01 18:08:24.000000	2016-05-01 18:08:23.045325	16
5	42428297	75	0		973	2016-05-01 18:11:39.000000		16
0	42428297	56	0	360.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:55:59.166149	17
1	3831822160	29	0		127	2016-05-01 17:58:07.000000	2016-05-01 17:58:06.310055	17
2	13344	39	1		271	2016-05-01 18:00:31.000000	2016-05-01 18:00:30.128372	17
3	33487	20	0		407	2016-05-01 18:02:47.000000	2016-05-01 18:02:46.996418	17
4	42423674	30	1		621	2016-05-01 18:06:21.000000	2016-05-01 18:06:20.202304	17
5	42428297	76	0		865	2016-05-01 18:10:25.000000		17
0	42428297	57	0	454.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:57:33.671797	18
1	6775	25	0		29	2016-05-01 17:58:03.000000	2016-05-01 17:58:02.114807	18
2	5235625496	35	1		303	2016-05-01 18:02:37.000000	2016-05-01 18:02:36.079128	18
3	11257	28	0		350	2016-05-01 18:03:24.000000	2016-05-01 18:03:23.694058	18
4	5728	38	1		565	2016-05-01 18:06:59.000000	2016-05-01 18:06:58.500285	18
5	42428297	77	0		838	2016-05-01 18:11:32.000000		18
0	42428297	58	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:49:59.671797	19
1	6775	5	0		28	2016-05-01 17:50:28.000000	2016-05-01 17:50:27.603649	19
2	42423674	16	0		197	2016-05-01 17:53:17.000000	2016-05-01 17:53:16.494510	19
3	13344	10	0		322	2016-05-01 17:55:22.000000	2016-05-01 17:55:21.344022	19
4	3831822160	17	0		348	2016-05-01 17:55:48.000000	2016-05-01 17:55:47.520684	19
5	13899	11	0		366	2016-05-01 17:56:06.000000	2016-05-01 17:56:05.863772	19
6	12604	8	0		622	2016-05-01 18:00:22.000000	2016-05-01 18:00:21.359052	19
7	11257	7	0		711	2016-05-01 18:01:51.000000	2016-05-01 18:01:50.740095	19
8	33487	13	0		736	2016-05-01 18:02:16.000000	2016-05-01 18:02:15.635369	19
9	5235625496	18	0		795	2016-05-01 18:03:15.000000	2016-05-01 18:03:14.399619	19
10	8043	6	0		860	2016-05-01 18:04:20.000000	2016-05-01 18:04:19.012886	19
11	19969	12	0		1024	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.377959	19
12	40584	14	0		1127	2016-05-01 18:08:47.000000	2016-05-01 18:08:46.529330	19
13	41691	15	0		1319	2016-05-01 18:11:59.000000	2016-05-01 18:11:58.694487	19
14	5635	2	0		1379	2016-05-01 18:12:59.000000	2016-05-01 18:12:58.718870	19
15	1926	1	0		1500	2016-05-01 18:15:00.000000	2016-05-01 18:14:59.472056	19
16	8119462472	19	0		1787	2016-05-01 18:19:47.000000	2016-05-01 18:19:46.614987	19
