	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	600.0	0	2016-05-01 18:18:13.000000	2016-05-01 18:28:12.168485	0
1	9847	517	0		94	2016-05-01 18:29:47.000000	2016-05-01 18:30:28.821959	0
2	20633	527	1		138	2016-05-01 18:31:13.000000	2016-05-01 18:31:12.196500	0
3	27107	717	2		321	2016-05-01 18:34:16.000000	2016-05-01 18:34:15.993219	0
4	21884	727	1		377	2016-05-01 18:35:12.000000	2016-05-01 18:35:11.451049	0
5	42428297	750	0		586	2016-05-01 18:38:41.000000		0
0	42428297	731	0	600.0	0	2016-05-01 18:14:02.000000	2016-05-01 18:24:01.485093	1
1	3977886248	485	0		90	2016-05-01 18:25:32.000000	2016-05-01 18:25:31.640443	1
2	2639531757	685	1		273	2016-05-01 18:28:35.000000	2016-05-01 18:28:34.665728	1
3	11939	507	0		485	2016-05-01 18:32:07.000000	2016-05-01 18:32:06.801369	1
4	32917	707	1		814	2016-05-01 18:37:36.000000	2016-05-01 18:37:35.299987	1
5	42428297	751	0		837	2016-05-01 18:37:59.000000		1
0	42428297	732	0	600.0	0	2016-05-01 18:00:29.000000	2016-05-01 18:10:28.876464	2
1	23164	406	0		80	2016-05-01 18:11:49.000000	2016-05-01 18:11:48.738162	2
2	6814895823	606	1		370	2016-05-01 18:16:39.000000	2016-05-01 18:16:38.112816	2
3	5849918504	418	0		589	2016-05-01 18:20:18.000000	2016-05-01 18:20:17.460951	2
4	8704367786	433	1		655	2016-05-01 18:21:24.000000	2016-05-01 18:21:23.414617	2
5	12409	633	2		787	2016-05-01 18:23:36.000000	2016-05-01 18:23:35.563791	2
6	27276	618	1		840	2016-05-01 18:24:29.000000	2016-05-01 18:25:34.449600	2
7	23207	488	0		844	2016-05-01 18:25:39.000000	2016-05-01 18:25:38.298270	2
8	20635	492	1		1030	2016-05-01 18:28:45.000000	2016-05-01 18:28:44.153246	2
9	11275	688	2		1133	2016-05-01 18:30:28.000000	2016-05-01 18:30:27.464111	2
10	21054	692	1		1366	2016-05-01 18:34:21.000000	2016-05-01 18:34:20.070245	2
11	42428297	752	0		1627	2016-05-01 18:38:42.000000		2
0	42428297	733	0	600.0	0	2016-05-01 18:02:39.000000	2016-05-01 18:12:38.421514	3
1	27162	421	0		81	2016-05-01 18:14:00.000000	2016-05-01 18:13:59.105471	3
2	27121	405	1		85	2016-05-01 18:14:04.000000	2016-05-01 18:14:06.885658	3
3	3607	415	2		100	2016-05-01 18:14:22.000000	2016-05-01 18:24:21.219625	3
4	27047	481	3		135	2016-05-01 18:24:57.000000	2016-05-01 18:24:56.684375	3
5	27031	605	4		147	2016-05-01 18:25:09.000000	2016-05-01 18:25:08.379665	3
6	11279	443	3		167	2016-05-01 18:25:29.000000	2016-05-01 18:25:28.772205	3
7	5600	615	4		316	2016-05-01 18:27:58.000000	2016-05-01 18:27:57.613922	3
8	6335	643	3		431	2016-05-01 18:29:53.000000	2016-05-01 18:29:52.043003	3
9	6722	513	2		512	2016-05-01 18:31:14.000000	2016-05-01 18:31:13.109389	3
10	6598535188	621	3		578	2016-05-01 18:32:20.000000	2016-05-01 18:32:19.132180	3
11	6786	681	2		644	2016-05-01 18:33:26.000000	2016-05-01 18:33:25.338419	3
12	6791	713	1		695	2016-05-01 18:34:17.000000	2016-05-01 18:34:16.097071	3
13	42428297	753	0		987	2016-05-01 18:39:09.000000		3
0	42428297	734	0	600.0	0	2016-05-01 18:16:20.000000	2016-05-01 18:26:19.822339	4
1	27277	498	0		75	2016-05-01 18:27:35.000000	2016-05-01 18:27:34.643132	4
2	3977886222	475	1		250	2016-05-01 18:30:30.000000	2016-05-01 18:30:29.287464	4
3	3517	486	2		355	2016-05-01 18:32:15.000000	2016-05-01 18:32:14.160372	4
4	6760	686	3		498	2016-05-01 18:34:38.000000	2016-05-01 18:34:37.837269	4
5	23155	675	2		584	2016-05-01 18:36:04.000000	2016-05-01 18:36:03.288835	4
6	35123	698	1		967	2016-05-01 18:42:27.000000	2016-05-01 18:42:26.100167	4
7	42428297	754	0		991	2016-05-01 18:42:51.000000		4
0	42428297	735	0	600.0	0	2016-05-01 17:54:51.000000	2016-05-01 18:04:50.306484	5
1	4544486780	371	0		71	2016-05-01 18:06:02.000000	2016-05-01 18:14:07.855731	5
2	27240	424	1		81	2016-05-01 18:14:18.000000	2016-05-01 18:14:17.251831	5
3	100521728	426	2		155	2016-05-01 18:15:32.000000	2016-05-01 18:15:31.066484	5
4	42439952	626	3		252	2016-05-01 18:17:09.000000	2016-05-01 18:17:08.590509	5
5	12112	427	2		350	2016-05-01 18:18:47.000000	2016-05-01 18:18:46.972581	5
6	11328	627	3		461	2016-05-01 18:20:38.000000	2016-05-01 18:20:37.452985	5
7	25267	463	2		709	2016-05-01 18:24:46.000000	2016-05-01 18:24:45.692734	5
8	23121	571	3		779	2016-05-01 18:25:56.000000	2016-05-01 18:28:23.252940	5
9	3463810250	509	2		809	2016-05-01 18:28:54.000000	2016-05-01 18:28:53.259775	5
10	3977886222	504	3		997	2016-05-01 18:32:02.000000	2016-05-01 18:32:01.677769	5
11	8045	505	4		1105	2016-05-01 18:33:50.000000	2016-05-01 18:33:49.112801	5
12	7883	624	5		1275	2016-05-01 18:36:40.000000	2016-05-01 18:36:39.450012	5
13	18389	663	4		1292	2016-05-01 18:36:57.000000	2016-05-01 18:36:56.688193	5
14	26303	704	3		1312	2016-05-01 18:37:17.000000	2016-05-01 18:37:16.054586	5
15	26302	709	2		1409	2016-05-01 18:38:54.000000	2016-05-01 18:38:53.776902	5
16	8375523266	705	1		1618	2016-05-01 18:42:23.000000	2016-05-01 18:42:22.329342	5
17	42428297	755	0		1821	2016-05-01 18:45:46.000000		5
0	42428297	736	0	600.0	0	2016-05-01 18:07:08.000000	2016-05-01 18:17:07.073500	6
1	4207952792	442	0		117	2016-05-01 18:19:05.000000	2016-05-01 18:25:29.424182	6
2	27161	489	1		140	2016-05-01 18:25:53.000000	2016-05-01 18:25:52.411524	6
3	27124	446	2		146	2016-05-01 18:25:59.000000	2016-05-01 18:25:58.276113	6
4	3606	471	3		165	2016-05-01 18:26:18.000000	2016-05-01 18:26:17.570648	6
5	27279	642	4		240	2016-05-01 18:27:33.000000	2016-05-01 18:27:32.933123	6
6	8704367785	689	3		294	2016-05-01 18:28:27.000000	2016-05-01 18:28:26.171421	6
7	4926	646	2		500	2016-05-01 18:31:53.000000	2016-05-01 18:31:52.775727	6
8	23199	671	1		856	2016-05-01 18:37:49.000000	2016-05-01 18:37:48.502546	6
9	42428297	756	0		1066	2016-05-01 18:41:19.000000		6
0	42428297	737	0	600.0	0	2016-05-01 17:50:07.000000	2016-05-01 18:00:06.528259	7
1	6793	346	0		47	2016-05-01 18:00:54.000000	2016-05-01 18:06:07.061101	7
2	4207815979	373	1		67	2016-05-01 18:06:28.000000	2016-05-01 18:08:59.737607	7
3	4458	395	2		126	2016-05-01 18:09:59.000000	2016-05-01 18:09:58.415039	7
4	2435108444	399	3		168	2016-05-01 18:10:41.000000	2016-05-01 18:10:40.798811	7
5	38724	595	4		465	2016-05-01 18:15:38.000000	2016-05-01 18:15:37.079713	7
6	7893	546	3		493	2016-05-01 18:16:06.000000	2016-05-01 18:16:05.453525	7
7	5481886057	573	2		671	2016-05-01 18:19:04.000000	2016-05-01 18:20:41.722321	7
8	25465	460	1		715	2016-05-01 18:21:26.000000	2016-05-01 18:21:25.900454	7
9	6598535230	599	2		845	2016-05-01 18:23:36.000000	2016-05-01 18:23:35.934920	7
10	23193	473	1		915	2016-05-01 18:24:46.000000	2016-05-01 18:28:37.318519	7
11	23215	510	2		938	2016-05-01 18:29:01.000000	2016-05-01 18:29:00.197405	7
12	42445011	518	3		1087	2016-05-01 18:31:30.000000	2016-05-01 18:31:29.408714	7
13	5605	660	4		1346	2016-05-01 18:35:49.000000	2016-05-01 18:35:48.036443	7
14	7590955909	673	3		1424	2016-05-01 18:37:07.000000	2016-05-01 18:37:06.572078	7
15	5235625496	710	2		1426	2016-05-01 18:37:09.000000	2016-05-01 18:37:08.594569	7
16	3977886875	718	1		1598	2016-05-01 18:40:01.000000	2016-05-01 18:40:00.619347	7
17	42428297	757	0		1862	2016-05-01 18:44:25.000000		7
0	42428297	738	0	579.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:59:41.300228	8
1	25283	348	0		80	2016-05-01 18:01:02.000000	2016-05-01 18:01:01.480563	8
2	11117	337	1		264	2016-05-01 18:04:06.000000	2016-05-01 18:07:56.951872	8
3	3955360025	390	2		335	2016-05-01 18:09:08.000000	2016-05-01 18:09:07.236827	8
4	1954	365	3		497	2016-05-01 18:11:50.000000	2016-05-01 18:11:49.760270	8
5	27261	565	4		629	2016-05-01 18:14:02.000000	2016-05-01 18:14:01.024118	8
6	42440153	590	3		637	2016-05-01 18:14:10.000000	2016-05-01 18:14:09.412217	8
7	42432580	391	2		640	2016-05-01 18:14:13.000000	2016-05-01 18:14:12.639392	8
8	37533	537	3		744	2016-05-01 18:15:57.000000	2016-05-01 18:15:56.275447	8
9	26560	413	2		790	2016-05-01 18:16:43.000000	2016-05-01 18:16:42.690535	8
10	3517	438	3		803	2016-05-01 18:16:56.000000	2016-05-01 18:16:55.189849	8
11	35126	428	4		810	2016-05-01 18:17:03.000000	2016-05-01 18:17:02.949011	8
12	3997454663	591	5		884	2016-05-01 18:18:17.000000	2016-05-01 18:18:16.053752	8
13	19317	638	4		925	2016-05-01 18:18:58.000000	2016-05-01 18:18:57.534916	8
14	19319	419	3		930	2016-05-01 18:19:03.000000	2016-05-01 18:19:02.717132	8
15	3530	548	4		1148	2016-05-01 18:22:41.000000	2016-05-01 18:22:40.500296	8
16	3976008169	628	3		1198	2016-05-01 18:23:31.000000	2016-05-01 18:23:30.561000	8
17	6336	619	2		1256	2016-05-01 18:24:29.000000	2016-05-01 18:24:28.390492	8
18	6723	483	1		1331	2016-05-01 18:25:44.000000	2016-05-01 18:25:44.000000	8
19	6723	613	2		1333	2016-05-01 18:25:46.000000	2016-05-01 18:25:59.329755	8
20	6751	493	1		1368	2016-05-01 18:26:35.000000	2016-05-01 18:26:34.717362	8
21	6762	466	2		1379	2016-05-01 18:26:46.000000	2016-05-01 18:26:45.116628	8
22	3463810252	666	3		1497	2016-05-01 18:28:44.000000	2016-05-01 18:28:43.395295	8
23	24878	683	2		1599	2016-05-01 18:30:26.000000	2016-05-01 18:30:25.591623	8
24	9499	693	1		1745	2016-05-01 18:32:52.000000	2016-05-01 18:32:51.909274	8
25	42428297	758	0		1841	2016-05-01 18:34:28.000000		8
0	42428297	739	0	495.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:17.200648	9
1	42430350	340	0		59	2016-05-01 17:59:17.000000	2016-05-01 18:06:40.945001	9
2	27123	377	1		71	2016-05-01 18:06:53.000000	2016-05-01 18:06:52.161562	9
3	6702	577	2		238	2016-05-01 18:09:40.000000	2016-05-01 18:09:39.193469	9
4	4851	540	1		536	2016-05-01 18:14:38.000000	2016-05-01 18:24:24.601243	9
5	4852	474	0		538	2016-05-01 18:24:27.000000	2016-05-01 18:28:50.601243	9
6	42440170	508	1		540	2016-05-01 18:28:53.000000	2016-05-01 18:28:52.289111	9
7	9876	478	2		562	2016-05-01 18:29:15.000000	2016-05-01 18:29:14.288064	9
8	4440	674	3		658	2016-05-01 18:30:51.000000	2016-05-01 18:30:50.701603	9
9	9508	491	2		760	2016-05-01 18:32:33.000000	2016-05-01 18:32:32.117587	9
10	4461990857	691	3		971	2016-05-01 18:36:04.000000	2016-05-01 18:36:03.796306	9
11	5522182776	678	2		1145	2016-05-01 18:38:58.000000	2016-05-01 18:38:57.782373	9
12	25462	708	1		1202	2016-05-01 18:39:55.000000	2016-05-01 18:39:54.428057	9
13	42428297	759	0		1226	2016-05-01 18:40:19.000000		9
0	42428297	740	0	600.0	0	2016-05-01 18:06:00.000000	2016-05-01 18:15:59.284919	10
1	11652	434	0		55	2016-05-01 18:16:55.000000	2016-05-01 18:26:54.210144	10
2	23135	497	1		91	2016-05-01 18:27:31.000000	2016-05-01 18:27:30.624601	10
3	4784141040	476	2		289	2016-05-01 18:30:49.000000	2016-05-01 18:30:48.374715	10
4	27166	676	3		436	2016-05-01 18:33:16.000000	2016-05-01 18:33:15.633858	10
5	9429	697	2		625	2016-05-01 18:36:25.000000	2016-05-01 18:36:24.774149	10
6	42439952	634	1		636	2016-05-01 18:36:36.000000	2016-05-01 18:36:35.726536	10
7	6702	528	0		736	2016-05-01 18:38:16.000000	2016-05-01 18:38:15.952051	10
8	5849918503	728	1		920	2016-05-01 18:41:20.000000	2016-05-01 18:41:19.239538	10
9	42428297	760	0		958	2016-05-01 18:41:58.000000		10
0	42428297	741	0	600.0	0	2016-05-01 18:13:12.000000	2016-05-01 18:23:11.018318	11
1	35141	469	0		52	2016-05-01 18:24:04.000000	2016-05-01 18:28:02.922179	11
2	3944708054	501	1		59	2016-05-01 18:28:10.000000	2016-05-01 18:28:09.621369	11
3	27250	499	2		75	2016-05-01 18:28:26.000000	2016-05-01 18:28:25.002329	11
