	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	600.0	0	2016-05-01 17:52:03.000000	2016-05-01 18:02:02.721454	0
1	4905	79	0		17	2016-05-01 18:02:20.000000	2016-05-01 18:02:19.715433	0
2	6776	14	1		90	2016-05-01 18:03:33.000000	2016-05-01 18:03:32.073361	0
3	6804	17	1		365	2016-05-01 18:08:08.000000	2016-05-01 18:08:08.000000	0
4	6804	119	1		366	2016-05-01 18:08:09.000000	2016-05-01 18:08:08.631933	0
5	3463817013	113	0		731	2016-05-01 18:14:14.000000	2016-05-01 18:14:13.036175	0
6	42428312	44	1		805	2016-05-01 18:15:28.000000	2016-05-01 18:15:27.227368	0
7	2435108444	105	1		820	2016-05-01 18:15:43.000000	2016-05-01 18:15:42.233136	0
8	42430350	46	2		1261	2016-05-01 18:23:04.000000	2016-05-01 18:23:03.007542	0
9	21966	25	2		1263	2016-05-01 18:23:06.000000	2016-05-01 18:23:06.000000	0
10	21966	153	2		1264	2016-05-01 18:23:07.000000	2016-05-01 18:23:06.030480	0
11	42439994	48	1		1340	2016-05-01 18:24:23.000000	2016-05-01 18:24:22.362588	0
12	6598535188	71	1		1356	2016-05-01 18:24:39.000000	2016-05-01 18:24:38.174542	0
13	6598535230	72	1		1526	2016-05-01 18:27:29.000000	2016-05-01 18:27:29.000000	0
14	6598535230	145	1		1527	2016-05-01 18:27:30.000000	2016-05-01 18:27:29.394019	0
15	42428297	164	0		2533	2016-05-01 18:44:16.000000		0
0	42428297	155	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.721454	1
1	4905	6	0		16	2016-05-01 17:51:08.000000	2016-05-01 17:56:00.012951	1
2	6786	84	0		252	2016-05-01 17:59:57.000000	2016-05-01 17:59:56.247951	1
3	6787	16	1		292	2016-05-01 18:00:37.000000	2016-05-01 18:01:47.202617	1
4	805765092	101	1		751	2016-05-01 18:09:27.000000	2016-05-01 18:09:26.430081	1
5	8714998591	74	2		928	2016-05-01 18:12:24.000000	2016-05-01 18:12:23.228585	1
6	8757	19	2		1049	2016-05-01 18:14:25.000000	2016-05-01 18:14:24.223909	1
7	19319	23	2		1110	2016-05-01 18:15:26.000000	2016-05-01 18:15:25.647277	1
8	19318	22	2		1114	2016-05-01 18:15:30.000000	2016-05-01 18:15:29.927533	1
9	3955360018	60	2		1115	2016-05-01 18:15:31.000000	2016-05-01 18:15:30.505959	1
10	27077	37	2		1122	2016-05-01 18:15:38.000000	2016-05-01 18:15:38.000000	1
11	27077	107	2		1123	2016-05-01 18:15:39.000000	2016-05-01 18:15:38.591057	1
12	42443807	49	3		1196	2016-05-01 18:16:52.000000	2016-05-01 18:16:51.138525	1
13	11267	21	3		1275	2016-05-01 18:18:11.000000	2016-05-01 18:18:11.000000	1
14	11267	141	3		1276	2016-05-01 18:18:12.000000	2016-05-01 18:18:11.153538	1
15	42443807	124	2		1281	2016-05-01 18:18:17.000000	2016-05-01 18:18:16.641208	1
16	6786	15	1		1636	2016-05-01 18:24:12.000000	2016-05-01 18:24:11.247951	1
17	6787	147	1		1676	2016-05-01 18:24:52.000000	2016-05-01 18:24:51.454772	1
18	42428297	165	0		1923	2016-05-01 18:28:59.000000		1
0	42428297	156	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.104055	2
1	25285	30	0		656	2016-05-01 18:01:48.000000	2016-05-01 18:01:47.080056	2
2	3607	93	0		1377	2016-05-01 18:13:49.000000	2016-05-01 18:13:48.126083	2
3	42439994	81	1		1554	2016-05-01 18:16:46.000000	2016-05-01 18:16:45.756770	2
4	27146	90	2		1599	2016-05-01 18:17:31.000000	2016-05-01 18:17:30.460687	2
5	6760	121	3		1699	2016-05-01 18:19:11.000000	2016-05-01 18:19:10.330351	2
6	19318	130	2		2401	2016-05-01 18:30:53.000000	2016-05-01 18:30:52.498081	2
7	5600	133	1		2439	2016-05-01 18:31:31.000000	2016-05-01 18:31:30.244804	2
8	27031	36	0		2814	2016-05-01 18:37:46.000000	2016-05-01 18:37:45.965365	2
9	3942050705	58	0		3336	2016-05-01 18:46:28.000000	2016-05-01 18:46:27.018936	2
10	6224278786	69	0		3602	2016-05-01 18:50:54.000000	2016-05-01 18:50:53.279756	2
11	42428297	166	0		4785	2016-05-01 19:10:37.000000		2
0	42428297	157	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.506311	3
1	3463817013	57	0		653	2016-05-01 18:01:45.000000	2016-05-01 18:01:44.399062	3
2	25273	29	0		673	2016-05-01 18:02:05.000000	2016-05-01 18:04:46.000000	3
3	25273	100	0		674	2016-05-01 18:04:47.000000	2016-05-01 18:04:46.151991	3
4	4794775937	91	1		1025	2016-05-01 18:10:38.000000	2016-05-01 18:10:38.000000	3
5	4794775937	66	2		1026	2016-05-01 18:10:39.000000	2016-05-01 18:10:38.038993	3
6	25245	28	2		1423	2016-05-01 18:17:16.000000	2016-05-01 18:17:16.000000	3
7	25245	102	2		1424	2016-05-01 18:17:17.000000	2016-05-01 18:17:16.700515	3
8	3463813444	131	3		1506	2016-05-01 18:18:39.000000	2016-05-01 18:18:38.189295	3
9	6723	140	2		1769	2016-05-01 18:23:02.000000	2016-05-01 18:23:01.613515	3
10	3705	3	1		1870	2016-05-01 18:24:43.000000	2016-05-01 18:24:43.000000	3
11	3705	142	1		1871	2016-05-01 18:24:44.000000	2016-05-01 18:24:43.678399	3
12	42428297	167	0		2140	2016-05-01 18:29:13.000000		3
0	42428297	158	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.170656	4
1	561042204	76	0		752	2016-05-01 18:03:24.000000	2016-05-01 18:03:23.095973	4
2	100522739	50	1		1004	2016-05-01 18:07:36.000000	2016-05-01 18:08:09.000000	4
3	100522739	94	1		1005	2016-05-01 18:08:10.000000	2016-05-01 18:08:09.190121	4
4	561042204	51	2		1065	2016-05-01 18:09:10.000000	2016-05-01 18:09:09.754941	4
5	19318	98	2		1069	2016-05-01 18:09:14.000000	2016-05-01 18:09:13.305744	4
6	6724	11	3		1235	2016-05-01 18:12:00.000000	2016-05-01 18:11:59.679661	4
7	6753	134	3		1244	2016-05-01 18:12:09.000000	2016-05-01 18:12:08.038246	4
8	6776	86	2		1265	2016-05-01 18:12:30.000000	2016-05-01 18:12:29.708520	4
9	4938	116	3		1295	2016-05-01 18:13:00.000000	2016-05-01 18:12:59.374740	4
10	37532	42	2		1881	2016-05-01 18:22:46.000000	2016-05-01 18:22:45.067267	4
11	4631139783	63	2		1883	2016-05-01 18:22:48.000000	2016-05-01 18:22:48.000000	4
