	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:49:59.093956	0
1	4905	40	0		5	2016-05-01 17:50:05.000000	2016-05-01 17:50:04.959936	0
2	23169	179	0		129	2016-05-01 17:52:09.000000	2016-05-01 17:52:08.678743	0
3	42443559	280	0		310	2016-05-01 17:55:10.000000	2016-05-01 17:55:09.539570	0
4	11128	120	0		339	2016-05-01 17:55:39.000000	2016-05-01 18:01:29.000000	0
5	11128	529	0		340	2016-05-01 18:01:30.000000	2016-05-01 18:01:29.319592	0
6	42430342	273	1		386	2016-05-01 18:02:16.000000	2016-05-01 18:02:15.048796	0
7	3541	25	1		387	2016-05-01 18:02:17.000000	2016-05-01 18:02:16.189588	0
8	42430350	274	1		389	2016-05-01 18:02:19.000000	2016-05-01 18:02:18.002395	0
9	27166	729	1		398	2016-05-01 18:02:28.000000	2016-05-01 18:02:27.561983	0
10	27051	475	0		417	2016-05-01 18:02:47.000000	2016-05-01 18:02:46.300977	0
11	3558	26	1		536	2016-05-01 18:04:46.000000	2016-05-01 18:04:45.040255	0
12	4016646232	317	1		554	2016-05-01 18:05:04.000000	2016-05-01 18:05:03.519040	0
13	3607	29	1		567	2016-05-01 18:05:17.000000	2016-05-01 18:05:16.812152	0
14	26967	194	1		620	2016-05-01 18:06:10.000000	2016-05-01 18:06:10.000000	0
15	26967	675	1		621	2016-05-01 18:06:11.000000	2016-05-01 18:06:10.099249	0
16	1690448973	527	0		701	2016-05-01 18:07:31.000000	2016-05-01 18:07:30.787921	0
17	33512	247	1		869	2016-05-01 18:10:19.000000	2016-05-01 18:10:18.390916	0
18	6718	73	1		1001	2016-05-01 18:12:31.000000	2016-05-01 18:12:30.290476	0
19	18382	162	1		1194	2016-05-01 18:15:44.000000	2016-05-01 18:15:43.233247	0
20	8261044794	727	1		1212	2016-05-01 18:16:02.000000	2016-05-01 18:16:01.123852	0
21	42428297	795	0		1372	2016-05-01 18:18:42.000000		0
0	42428297	776	0	0.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:49:59.177453	1
1	27004	197	0		55	2016-05-01 17:50:55.000000	2016-05-01 17:56:58.142938	1
2	12634	410	0		152	2016-05-01 17:58:36.000000	2016-05-01 17:58:35.083734	1
3	12632	144	1		154	2016-05-01 17:58:38.000000	2016-05-01 17:58:37.019925	1
4	11826	133	1		279	2016-05-01 18:00:43.000000	2016-05-01 18:00:43.000000	1
5	11826	610	1		280	2016-05-01 18:00:44.000000	2016-05-01 18:00:43.215450	1
6	6716668070	458	0		286	2016-05-01 18:00:50.000000	2016-05-01 18:00:49.511686	1
7	8119462472	360	1		395	2016-05-01 18:02:39.000000	2016-05-01 18:02:38.362883	1
8	39435	261	1		395	2016-05-01 18:02:39.000000	2016-05-01 18:02:38.301109	1
9	13277	658	1		408	2016-05-01 18:02:52.000000	2016-05-01 18:02:51.275677	1
10	6224278793	545	0		440	2016-05-01 18:03:24.000000	2016-05-01 18:03:23.759004	1
11	12388	138	1		500	2016-05-01 18:04:24.000000	2016-05-01 18:04:23.329083	1
12	32251	244	1		504	2016-05-01 18:04:28.000000	2016-05-01 18:04:28.000000	1
13	32251	745	1		505	2016-05-01 18:04:29.000000	2016-05-01 18:04:28.558317	1
14	42453986	465	0		572	2016-05-01 18:05:36.000000	2016-05-01 18:05:35.730260	1
