	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	137.0	0	2016-05-01 17:51:00.000000	2016-05-01 17:53:16.580570	0
1	6597464486	36	0		0	2016-05-01 17:53:17.000000	2016-05-01 18:03:16.014491	0
2	100522739	58	0		293	2016-05-01 18:08:10.000000	2016-05-01 18:08:09.198532	0
3	1690450548	28	1		294	2016-05-01 18:08:11.000000	2016-05-01 18:08:10.027802	0
4	26991	19	1		309	2016-05-01 18:08:26.000000	2016-05-01 18:08:26.000000	0
5	26991	45	1		310	2016-05-01 18:08:27.000000	2016-05-01 18:09:09.590844	0
6	26560	56	2		504	2016-05-01 18:12:24.000000	2016-05-01 18:12:23.972945	0
7	6723	76	3		564	2016-05-01 18:13:24.000000	2016-05-01 18:13:23.833758	0
8	6753	78	2		569	2016-05-01 18:13:29.000000	2016-05-01 18:13:28.310819	0
9	6755	6	1		570	2016-05-01 18:13:30.000000	2016-05-01 18:13:29.114080	0
10	34311	65	1		582	2016-05-01 18:13:42.000000	2016-05-01 18:13:41.211333	0
11	3573482142	39	0		602	2016-05-01 18:14:02.000000	2016-05-01 18:14:01.736092	0
12	35126	21	1		667	2016-05-01 18:15:07.000000	2016-05-01 18:15:07.000000	0
13	35126	51	1		668	2016-05-01 18:15:08.000000	2016-05-01 18:15:07.367982	0
14	22838	13	2		860	2016-05-01 18:18:20.000000	2016-05-01 18:18:20.000000	0
15	22838	59	2		861	2016-05-01 18:18:21.000000	2016-05-01 18:18:20.635078	0
16	8714998591	38	1		1076	2016-05-01 18:21:56.000000	2016-05-01 18:21:55.020856	0
17	3976008169	71	1		1164	2016-05-01 18:23:24.000000	2016-05-01 18:23:23.165020	0
18	42428297	88	0		1247	2016-05-01 18:24:47.000000		0
0	42428297	79	0	0.0	0	2016-05-01 17:51:00.000000	2016-05-01 17:51:00.000000	1
1	42428297	89	0		0	2016-05-01 17:51:00.000000		1
0	42428297	80	0	0.0	0	2016-05-01 17:51:00.000000	2016-05-01 17:50:59.595061	2
1	100522739	27	0		293	2016-05-01 17:55:53.000000	2016-05-01 18:02:46.198532	2
2	1690450548	47	0		294	2016-05-01 18:02:48.000000	2016-05-01 18:02:47.802562	2
3	11117	9	1		309	2016-05-01 18:03:03.000000	2016-05-01 18:03:03.000000	2
4	11117	52	1		310	2016-05-01 18:03:04.000000	2016-05-01 18:03:03.637918	2
5	25273	16	2		397	2016-05-01 18:04:31.000000	2016-05-01 18:04:46.000000	2
6	25273	54	2		398	2016-05-01 18:04:47.000000	2016-05-01 18:09:52.288160	2
7	2435108444	40	3		422	2016-05-01 18:10:17.000000	2016-05-01 18:10:16.196469	2
8	37531	42	4		634	2016-05-01 18:13:49.000000	2016-05-01 18:13:48.346778	2
9	37533	72	5		636	2016-05-01 18:13:51.000000	2016-05-01 18:13:50.274416	2
10	26308	17	4		642	2016-05-01 18:13:57.000000	2016-05-01 18:13:57.000000	2
11	26308	67	4		643	2016-05-01 18:13:58.000000	2016-05-01 18:13:57.806970	2
12	6723	74	3		889	2016-05-01 18:18:04.000000	2016-05-01 18:18:03.144577	2
13	6755	62	2		894	2016-05-01 18:18:09.000000	2016-05-01 18:18:08.149931	2
14	3573482142	30	1		905	2016-05-01 18:18:20.000000	2016-05-01 18:18:19.111030	2
15	6598535230	37	1		964	2016-05-01 18:19:19.000000	2016-05-01 18:19:19.000000	2
16	6598535230	60	1		965	2016-05-01 18:19:20.000000	2016-05-01 18:19:19.798006	2
