	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	495.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:17.200648	0
1	42430350	255	0		59	2016-05-01 17:59:17.000000	2016-05-01 17:59:16.490371	0
2	19317	64	1		157	2016-05-01 18:00:55.000000	2016-05-01 18:00:54.236381	0
3	561042204	273	1		159	2016-05-01 18:00:57.000000	2016-05-01 18:00:56.903699	0
4	6718	222	2		323	2016-05-01 18:03:41.000000	2016-05-01 18:03:41.000000	0
5	6718	25	3		324	2016-05-01 18:03:42.000000	2016-05-01 18:03:41.062765	0
6	40587	115	3		512	2016-05-01 18:06:50.000000	2016-05-01 18:06:49.548857	0
7	34340	108	3		564	2016-05-01 18:07:42.000000	2016-05-01 18:07:41.925695	0
8	5634	213	3		600	2016-05-01 18:08:18.000000	2016-05-01 18:08:17.336186	0
9	6723	27	4		624	2016-05-01 18:08:42.000000	2016-05-01 18:08:41.080032	0
10	6772	258	4		666	2016-05-01 18:09:24.000000	2016-05-01 18:09:23.982320	0
11	4207957615	322	5		678	2016-05-01 18:09:36.000000	2016-05-01 18:09:35.519660	0
12	6793	38	4		693	2016-05-01 18:09:51.000000	2016-05-01 18:09:50.061101	0
13	4207815979	195	4		712	2016-05-01 18:10:10.000000	2016-05-01 18:10:09.245669	0
14	4457	313	5		766	2016-05-01 18:11:04.000000	2016-05-01 18:11:03.491938	0
15	4458	211	4		772	2016-05-01 18:11:10.000000	2016-05-01 18:11:09.561904	0
16	4851	358	5		933	2016-05-01 18:13:51.000000	2016-05-01 18:13:51.000000	0
17	4851	355	4		935	2016-05-01 18:13:53.000000	2016-05-01 18:13:59.993670	0
18	4782404427	199	3		955	2016-05-01 18:14:20.000000	2016-05-01 18:14:20.000000	0
19	4782404427	159	4		956	2016-05-01 18:14:21.000000	2016-05-01 18:14:20.120960	0
20	8704367787	177	4		1322	2016-05-01 18:20:27.000000	2016-05-01 18:20:27.000000	0
21	8704367787	208	4		1323	2016-05-01 18:20:28.000000	2016-05-01 18:20:27.237443	0
22	5481886057	295	5		1443	2016-05-01 18:22:28.000000	2016-05-01 18:22:27.066980	0
23	6210777836	165	4		1516	2016-05-01 18:23:41.000000	2016-05-01 18:23:40.695195	0
24	4938	373	4		1577	2016-05-01 18:24:42.000000	2016-05-01 18:24:41.746784	0
25	38724	311	3		1687	2016-05-01 18:26:32.000000	2016-05-01 18:26:31.079713	0
26	7893	44	2		1714	2016-05-01 18:26:59.000000	2016-05-01 18:26:58.000649	0
27	8714998591	299	2		1977	2016-05-01 18:31:22.000000	2016-05-01 18:31:22.000000	0
28	8714998591	178	1		1978	2016-05-01 18:31:23.000000	2016-05-01 18:31:22.117016	0
29	42432580	119	1		2078	2016-05-01 18:33:03.000000	2016-05-01 18:33:02.075248	0
30	8051	47	1		2175	2016-05-01 18:34:40.000000	2016-05-01 18:34:39.740427	0
31	5235625496	308	1		2181	2016-05-01 18:34:46.000000	2016-05-01 18:34:45.045325	0
32	42428297	388	0		2376	2016-05-01 18:38:01.000000		0
0	42428297	379	0	512.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:34.765026	1
