	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:50:48.456392	0
1	4828	6	0		49	2016-05-01 17:51:38.000000	2016-05-01 17:51:37.319413	0
2	6789	15	0		60	2016-05-01 17:51:49.000000	2016-05-01 17:51:48.112423	0
3	29453	43	0		306	2016-05-01 17:55:55.000000	2016-05-01 17:58:48.000000	0
4	29453	82	0		307	2016-05-01 17:58:49.000000	2016-05-01 17:58:48.678187	0
5	4445	5	1		579	2016-05-01 18:03:21.000000	2016-05-01 18:03:21.000000	0
6	4445	84	1		580	2016-05-01 18:03:22.000000	2016-05-01 18:03:21.515475	0
7	25283	34	2		611	2016-05-01 18:03:53.000000	2016-05-01 18:03:53.000000	0
8	25283	85	2		612	2016-05-01 18:03:54.000000	2016-05-01 18:03:53.175301	0
9	3971196627	60	3		638	2016-05-01 18:04:20.000000	2016-05-01 18:04:20.000000	0
10	3971196627	101	3		639	2016-05-01 18:04:21.000000	2016-05-01 18:04:20.175269	0
11	561042204	98	4		722	2016-05-01 18:05:44.000000	2016-05-01 18:05:43.292772	0
12	26991	39	5		732	2016-05-01 18:05:54.000000	2016-05-01 18:05:54.000000	0
13	26991	110	5		733	2016-05-01 18:05:55.000000	2016-05-01 18:06:49.864411	0
14	100522739	83	6		813	2016-05-01 18:08:10.000000	2016-05-01 18:08:09.910032	0
15	27213	122	7		871	2016-05-01 18:09:08.000000	2016-05-01 18:09:07.916002	0
16	25273	33	6		946	2016-05-01 18:10:23.000000	2016-05-01 18:10:23.000000	0
17	25273	141	6		947	2016-05-01 18:10:24.000000	2016-05-01 18:10:23.140505	0
18	25285	35	5		1060	2016-05-01 18:12:17.000000	2016-05-01 18:12:17.000000	0
19	25285	88	5		1061	2016-05-01 18:12:18.000000	2016-05-01 18:12:17.872742	0
20	3977886858	63	6		1386	2016-05-01 18:17:43.000000	2016-05-01 18:17:43.000000	0
21	3977886858	104	6		1387	2016-05-01 18:17:44.000000	2016-05-01 18:17:43.208693	0
22	19318	24	7		1479	2016-05-01 18:19:16.000000	2016-05-01 18:19:15.423750	0
23	7826843771	72	7		1493	2016-05-01 18:19:30.000000	2016-05-01 18:19:30.000000	0
24	7826843771	128	7		1494	2016-05-01 18:19:31.000000	2016-05-01 18:19:30.311728	0
25	3530	125	6		1646	2016-05-01 18:22:03.000000	2016-05-01 18:22:03.000000	0
26	3530	2	5		1647	2016-05-01 18:22:04.000000	2016-05-01 18:22:03.513225	0
27	21908	124	5		1652	2016-05-01 18:22:09.000000	2016-05-01 18:22:08.272693	0
28	35123	144	4		1736	2016-05-01 18:23:33.000000	2016-05-01 18:23:32.520763	0
29	34311	150	3		1774	2016-05-01 18:24:11.000000	2016-05-01 18:24:10.131011	0
30	4936	9	2		1777	2016-05-01 18:24:14.000000	2016-05-01 18:24:13.359679	0
31	4938	138	2		1778	2016-05-01 18:24:15.000000	2016-05-01 18:24:14.586124	0
32	6753	123	1		1791	2016-05-01 18:24:28.000000	2016-05-01 18:24:27.460750	0
33	3573482142	58	0		1803	2016-05-01 18:24:40.000000	2016-05-01 18:24:39.362068	0
34	42428297	165	0		1811	2016-05-01 18:24:48.000000		0
0	42428297	156	0	449.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:58:17.413718	1
1	6724	103	0		34	2016-05-01 17:58:52.000000	2016-05-01 17:58:51.035476	1
2	9619	108	1		208	2016-05-01 18:01:46.000000	2016-05-01 18:01:45.548206	1
3	2348991701	55	2		341	2016-05-01 18:03:59.000000	2016-05-01 18:03:59.000000	1
4	2348991701	148	2		342	2016-05-01 18:04:00.000000	2016-05-01 18:03:59.501498	1
5	3308681109	143	1		355	2016-05-01 18:04:13.000000	2016-05-01 18:04:13.000000	1
6	3308681109	57	0		356	2016-05-01 18:04:14.000000	2016-05-01 18:04:13.180259	1
7	42439996	91	0		430	2016-05-01 18:05:28.000000	2016-05-01 18:05:27.349877	1
8	4936	99	1		462	2016-05-01 18:06:00.000000	2016-05-01 18:05:59.151259	1
9	37532	139	2		659	2016-05-01 18:09:17.000000	2016-05-01 18:09:16.022422	1
10	4631139783	131	1		661	2016-05-01 18:09:19.000000	2016-05-01 18:09:30.730719	1
11	3573482142	90	0		922	2016-05-01 18:13:52.000000	2016-05-01 18:14:32.184243	1
12	27146	105	1		935	2016-05-01 18:14:46.000000	2016-05-01 18:14:45.423320	1
13	4770624001	100	2		949	2016-05-01 18:15:00.000000	2016-05-01 18:15:00.000000	1
14	4770624001	67	3		950	2016-05-01 18:15:01.000000	2016-05-01 18:15:00.013272	1
15	42430342	48	3		999	2016-05-01 18:15:50.000000	2016-05-01 18:15:49.157191	1
16	22838	28	3		1161	2016-05-01 18:18:32.000000	2016-05-01 18:18:32.000000	1
17	22838	130	3		1162	2016-05-01 18:18:33.000000	2016-05-01 18:18:32.495249	1
18	19318	145	2		1433	2016-05-01 18:23:04.000000	2016-05-01 18:23:03.139508	1
19	3944708032	59	1		1439	2016-05-01 18:23:10.000000	2016-05-01 18:23:09.008866	1
20	22819	140	1		1514	2016-05-01 18:24:25.000000	2016-05-01 18:24:25.000000	1
21	22819	27	0		1515	2016-05-01 18:24:26.000000	2016-05-01 18:24:25.607243	1
22	42428297	166	0		1859	2016-05-01 18:30:10.000000		1
0	42428297	157	0	422.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:57:50.287580	2
1	26561	97	0		358	2016-05-01 18:03:49.000000	2016-05-01 18:03:48.282640	2
2	3460	1	1		359	2016-05-01 18:03:50.000000	2016-05-01 18:03:49.298044	2
3	42430342	137	1		393	2016-05-01 18:04:24.000000	2016-05-01 18:04:23.372718	2
4	6724	12	0		451	2016-05-01 18:05:22.000000	2016-05-01 18:05:21.226554	2
5	6753	13	0		453	2016-05-01 18:05:24.000000	2016-05-01 18:05:23.323813	2
6	11128	21	0		502	2016-05-01 18:06:13.000000	2016-05-01 18:06:13.000000	2
7	11128	112	0		503	2016-05-01 18:06:14.000000	2016-05-01 18:06:13.892188	2
8	8051	16	1		894	2016-05-01 18:12:45.000000	2016-05-01 18:12:45.000000	2
9	8051	111	1		895	2016-05-01 18:12:46.000000	2016-05-01 18:12:45.883635	2
10	8052	17	2		930	2016-05-01 18:13:21.000000	2016-05-01 18:13:21.000000	2
11	8052	102	2		931	2016-05-01 18:13:22.000000	2016-05-01 18:13:21.190775	2
12	26560	78	3		1254	2016-05-01 18:18:45.000000	2016-05-01 18:18:44.706682	2
13	26561	38	4		1256	2016-05-01 18:18:47.000000	2016-05-01 18:18:46.282640	2
14	3460	80	4		1257	2016-05-01 18:18:48.000000	2016-05-01 18:18:47.674386	2
15	35126	46	5		1283	2016-05-01 18:19:14.000000	2016-05-01 18:19:14.000000	2
16	35126	106	5		1284	2016-05-01 18:19:15.000000	2016-05-01 18:19:14.810862	2
17	21908	26	6		1307	2016-05-01 18:19:38.000000	2016-05-01 18:19:37.085509	2
18	6723	118	6		1336	2016-05-01 18:20:07.000000	2016-05-01 18:20:06.476684	2
19	6789	142	5		1379	2016-05-01 18:20:50.000000	2016-05-01 18:20:49.174320	2
20	4207815979	65	4		1407	2016-05-01 18:21:18.000000	2016-05-01 18:21:17.756257	2
21	27166	41	4		1500	2016-05-01 18:22:51.000000	2016-05-01 18:22:51.000000	2
22	27166	152	4		1501	2016-05-01 18:22:52.000000	2016-05-01 18:22:51.683156	2
23	3976008169	146	3		1503	2016-05-01 18:22:54.000000	2016-05-01 18:22:54.000000	2
24	3976008169	61	2		1504	2016-05-01 18:22:55.000000	2016-05-01 18:22:54.013149	2
25	23428	31	2		1548	2016-05-01 18:23:39.000000	2016-05-01 18:23:38.441831	2
26	34311	44	2		1579	2016-05-01 18:24:10.000000	2016-05-01 18:24:09.063263	2
27	5481886057	70	2		1583	2016-05-01 18:24:14.000000	2016-05-01 18:24:13.515611	2
28	25462	36	2		1597	2016-05-01 18:24:28.000000	2016-05-01 18:24:28.000000	2
29	25462	151	2		1598	2016-05-01 18:24:29.000000	2016-05-01 18:24:28.512671	2
30	4631139783	120	1		1830	2016-05-01 18:28:21.000000	2016-05-01 18:28:21.000000	2
31	4631139783	66	0		1831	2016-05-01 18:28:22.000000	2016-05-01 18:28:21.092787	2
32	42428297	167	0		2098	2016-05-01 18:32:49.000000		2
0	42428297	158	0	561.0	0	2016-05-01 17:50:49.000000	2016-05-01 18:00:09.456392	3
1	4828	115	0		50	2016-05-01 18:01:00.000000	2016-05-01 18:00:59.201106	3
2	805765092	54	1		190	2016-05-01 18:03:20.000000	2016-05-01 18:03:19.530803	3
3	42430350	92	1		248	2016-05-01 18:04:18.000000	2016-05-01 18:04:17.203604	3
4	21047	25	2		319	2016-05-01 18:05:29.000000	2016-05-01 18:10:13.000000	3
5	21047	93	2		320	2016-05-01 18:10:14.000000	2016-05-01 18:10:13.109723	3
6	9506	19	3		416	2016-05-01 18:11:50.000000	2016-05-01 18:11:49.129107	3
7	4938	10	3		448	2016-05-01 18:12:22.000000	2016-05-01 18:12:21.345925	3
8	11148	22	3		472	2016-05-01 18:12:46.000000	2016-05-01 18:12:46.000000	3
9	11148	155	3		473	2016-05-01 18:12:47.000000	2016-05-01 18:12:46.389815	3
10	4850	7	2		619	2016-05-01 18:15:13.000000	2016-05-01 18:15:12.685607	3
11	4851	8	2		631	2016-05-01 18:15:25.000000	2016-05-01 18:15:25.000000	3
12	4851	132	2		632	2016-05-01 18:15:26.000000	2016-05-01 18:15:25.007318	3
13	4782404427	95	1		658	2016-05-01 18:15:52.000000	2016-05-01 18:15:52.000000	3
14	4782404427	68	2		659	2016-05-01 18:15:53.000000	2016-05-01 18:15:52.538561	3
15	25245	32	2		1206	2016-05-01 18:25:00.000000	2016-05-01 18:24:59.850045	3
16	23110	29	2		1440	2016-05-01 18:28:54.000000	2016-05-01 18:28:54.000000	3
17	23110	133	2		1441	2016-05-01 18:28:55.000000	2016-05-01 18:28:54.090248	3
18	3977886225	62	1		1608	2016-05-01 18:31:42.000000	2016-05-01 18:31:41.896945	3
19	8714998591	135	1		1618	2016-05-01 18:31:52.000000	2016-05-01 18:31:51.177360	3
20	2435108444	56	0		1705	2016-05-01 18:33:19.000000	2016-05-01 18:33:18.297627	3
21	42428297	168	0		1723	2016-05-01 18:33:37.000000		3
0	42428297	159	0	352.0	0	2016-05-01 17:50:49.000000	2016-05-01 17:56:40.459930	4
1	8660596975	76	0		418	2016-05-01 18:03:39.000000	2016-05-01 18:03:39.000000	4
2	8660596975	73	1		419	2016-05-01 18:03:40.000000	2016-05-01 18:03:39.235364	4
3	6723	11	1		427	2016-05-01 18:03:48.000000	2016-05-01 18:06:57.617543	4
4	6772	114	1		433	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.937148	4
5	4850	107	2		546	2016-05-01 18:08:57.000000	2016-05-01 18:08:56.685607	4
6	4851	154	3		560	2016-05-01 18:09:11.000000	2016-05-01 18:09:10.926718	4
7	9619	20	2		611	2016-05-01 18:10:02.000000	2016-05-01 18:10:01.053905	4
8	23225	30	2		900	2016-05-01 18:14:51.000000	2016-05-01 18:14:51.000000	4
9	23225	77	2		901	2016-05-01 18:14:52.000000	2016-05-01 18:14:52.000000	4
10	23225	116	3		903	2016-05-01 18:14:54.000000	2016-05-01 18:14:53.695693	4
11	8704367787	89	2		946	2016-05-01 18:15:37.000000	2016-05-01 18:15:37.000000	4
12	8704367787	74	3		947	2016-05-01 18:15:38.000000	2016-05-01 18:15:37.130393	4
13	25245	86	3		1074	2016-05-01 18:17:45.000000	2016-05-01 18:17:44.204967	4
14	3705	4	4		1217	2016-05-01 18:20:08.000000	2016-05-01 18:20:08.000000	4
15	3705	126	4		1218	2016-05-01 18:20:09.000000	2016-05-01 18:20:08.055062	4
16	37532	47	3		1458	2016-05-01 18:24:09.000000	2016-05-01 18:24:08.918856	4
17	5235625496	117	3		1460	2016-05-01 18:24:11.000000	2016-05-01 18:24:11.000000	4
18	5235625496	69	2		1461	2016-05-01 18:24:12.000000	2016-05-01 18:24:12.000000	4
19	5235625496	147	2		1462	2016-05-01 18:24:13.000000	2016-05-01 18:24:13.000000	4
20	5235625496	129	1		1464	2016-05-01 18:24:15.000000	2016-05-01 18:24:14.546256	4
21	26560	37	0		1781	2016-05-01 18:29:32.000000	2016-05-01 18:29:31.246366	4
