	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	512.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:34.765026	0
1	27051	192	0		86	2016-05-01 18:00:01.000000	2016-05-01 18:00:00.672422	0
2	26967	292	1		292	2016-05-01 18:03:27.000000	2016-05-01 18:09:49.265683	0
3	4794775937	249	0		331	2016-05-01 18:10:29.000000	2016-05-01 18:10:28.816759	0
4	3463813444	349	1		533	2016-05-01 18:13:51.000000	2016-05-01 18:13:50.122085	0
5	25245	251	0		738	2016-05-01 18:17:16.000000	2016-05-01 18:17:15.905239	0
6	3705	351	1		1018	2016-05-01 18:21:56.000000	2016-05-01 18:21:55.582711	0
7	42428297	398	0		1446	2016-05-01 18:29:04.000000		0
0	42428297	379	0	600.0	0	2016-05-01 17:57:55.000000	2016-05-01 18:07:54.902810	1
1	42432580	239	0		85	2016-05-01 18:09:20.000000	2016-05-01 18:09:19.073639	1
2	3997454663	339	1		193	2016-05-01 18:11:08.000000	2016-05-01 18:11:07.215971	1
3	27077	241	0		233	2016-05-01 18:11:48.000000	2016-05-01 18:11:47.932472	1
4	6787	341	1		518	2016-05-01 18:16:33.000000	2016-05-01 18:16:32.584232	1
5	42428297	399	0		705	2016-05-01 18:19:40.000000		1
0	42428297	380	0	600.0	0	2016-05-01 17:53:39.000000	2016-05-01 18:03:38.298724	2
1	3955372899	214	0		85	2016-05-01 18:05:04.000000	2016-05-01 18:05:03.553560	2
2	2351532382	314	1		361	2016-05-01 18:09:40.000000	2016-05-01 18:09:39.066843	2
3	37531	229	0		441	2016-05-01 18:11:00.000000	2016-05-01 18:10:59.295069	2
4	6755	329	1		597	2016-05-01 18:13:36.000000	2016-05-01 18:13:35.472966	2
5	6772	226	0		600	2016-05-01 18:13:39.000000	2016-05-01 18:13:38.710629	2
6	4851	326	1		737	2016-05-01 18:15:56.000000	2016-05-01 18:15:55.993670	2
7	4782404427	273	0		757	2016-05-01 18:16:16.000000	2016-05-01 18:16:15.993876	2
8	8714998591	373	1		1331	2016-05-01 18:25:50.000000	2016-05-01 18:25:49.742367	2
9	42428297	400	0		1675	2016-05-01 18:31:34.000000		2
0	42428297	381	0	600.0	0	2016-05-01 18:00:23.000000	2016-05-01 18:10:22.526985	3
1	27121	253	0		84	2016-05-01 18:11:47.000000	2016-05-01 18:11:46.751913	3
2	27031	353	1		115	2016-05-01 18:12:18.000000	2016-05-01 18:12:17.273781	3
