	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	379.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:56:18.730178	0
1	29453	753	0		150	2016-05-01 17:58:49.000000	2016-05-01 17:58:48.460582	0
2	27213	1153	1		216	2016-05-01 17:59:55.000000	2016-05-01 18:01:55.484245	0
3	26559	940	0		315	2016-05-01 18:03:35.000000	2016-05-01 18:06:12.667651	0
4	26560	1060	1		317	2016-05-01 18:06:15.000000	2016-05-01 18:06:14.279004	0
5	26963	1460	2		478	2016-05-01 18:08:56.000000	2016-05-01 18:08:55.887301	0
6	42428312	1340	1		565	2016-05-01 18:10:23.000000	2016-05-01 18:10:22.415962	0
7	42428297	1546	0		755	2016-05-01 18:13:33.000000		0
0	42428297	1507	0	405.0	0	2016-05-01 17:50:00.000000	2016-05-01 17:56:44.524879	1
1	29634	756	0		129	2016-05-01 17:58:54.000000	2016-05-01 17:58:53.951193	1
2	5266429281	730	1		144	2016-05-01 17:59:09.000000	2016-05-01 17:59:08.608530	1
3	7468	766	2		146	2016-05-01 17:59:11.000000	2016-05-01 17:59:10.148389	1
4	4597668029	724	3		164	2016-05-01 17:59:29.000000	2016-05-01 17:59:28.067892	1
5	248707602	1124	4		319	2016-05-01 18:02:04.000000	2016-05-01 18:02:03.556905	1
6	4207957613	1166	3		566	2016-05-01 18:06:11.000000	2016-05-01 18:06:10.867379	1
7	8103	1130	2		759	2016-05-01 18:09:24.000000	2016-05-01 18:09:23.929470	1
8	3977886187	1156	1		1168	2016-05-01 18:16:13.000000	2016-05-01 18:16:12.776917	1
9	42428297	1547	0		1421	2016-05-01 18:20:26.000000		1
0	42428297	1508	0	600.0	0	2016-05-01 17:51:39.000000	2016-05-01 18:01:38.366311	2
1	42430707	952	0		128	2016-05-01 18:03:47.000000	2016-05-01 18:03:46.860241	2
2	3809	912	1		196	2016-05-01 18:04:55.000000	2016-05-01 18:04:54.873989	2
3	12407	1031	2		280	2016-05-01 18:06:19.000000	2016-05-01 18:06:18.715713	2
4	21191	814	3		330	2016-05-01 18:07:09.000000	2016-05-01 18:07:08.834245	2
5	1825841724	902	4		393	2016-05-01 18:08:12.000000	2016-05-01 18:08:11.909887	2
6	4794775932	999	5		444	2016-05-01 18:09:03.000000	2016-05-01 18:09:02.835695	2
7	1494	1302	6		545	2016-05-01 18:10:44.000000	2016-05-01 18:10:43.035053	2
