param_set	cap_vehicles	focus_radius	max_trips	num_vehicles	solver_solution_limit
239	8	2000	100	80	1000
240	1	2000	200	10	1000
241	8	2000	200	10	1000
242	1	2000	200	20	1000
243	8	2000	200	20	1000
244	1	2000	200	40	1000
245	8	2000	200	40	1000
246	1	2000	200	80	1000
247	8	2000	200	80	1000
248	1	2000	400	10	1000
249	8	2000	400	10	1000
250	1	2000	400	20	1000
251	8	2000	400	20	1000
252	1	2000	400	40	1000
253	8	2000	400	40	1000
254	1	2000	400	80	1000
255	8	2000	400	80	1000
