param_set	bustakers_fraction	cap_vehicles	graph_h	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed	num_trips	A	B	unserviced	mean_excess_time	critical_income	a_bar	b_bar
65	0.6	8	6	3	10	7	0.6	27	60	6	3	22	248.4	90450.0	0.278	0.722
66	0.4	8	6	1	10	7	0.4	27	40	6	3	0	292.5	76800.0	0.361	0.639
67	0.4	8	6	3	10	7	0.4	27	40	6	3	13	193.2	116300.0	0.171	0.829
68	0.2	8	6	1	10	7	0.2	27	20	6	3	0	326.9	68730.0	0.422	0.578
69	0.2	8	6	3	10	7	0.2	27	20	6	3	3	194.2	115700.0	0.173	0.827
70	1.0	8	6	1	10	8	1.0	28	100	6	3	5	363.1	61870.0	0.481	0.519
71	1.0	8	6	3	10	8	1.0	28	100	6	3	51	284.5	78960.0	0.346	0.654
72	0.8	8	6	1	10	8	0.8	28	80	6	3	2	384.1	58490.0	0.513	0.487
73	0.8	8	6	3	10	8	0.8	28	80	6	3	36	335.0	67050.0	0.436	0.564
74	0.6	8	6	1	10	8	0.6	28	60	6	3	0	348.6	64440.0	0.458	0.542
75	0.6	8	6	3	10	8	0.6	28	60	6	3	21	242.5	92650.0	0.266	0.734
76	0.4	8	6	1	10	8	0.4	28	40	6	3	0	338.0	66460.0	0.441	0.559
77	0.4	8	6	3	10	8	0.4	28	40	6	3	10	292.2	76890.0	0.36	0.64
78	0.2	8	6	1	10	8	0.2	28	20	6	3	0	238.8	94090.0	0.259	0.741
79	0.2	8	6	3	10	8	0.2	28	20	6	3	2	292.4	76840.0	0.361	0.639
80	1.0	8	6	1	10	9	1.0	29	100	6	3	6	378.9	59290.0	0.506	0.494
81	1.0	8	6	3	10	9	1.0	29	100	6	3	51	335.1	67050.0	0.436	0.564
82	0.8	8	6	1	10	9	0.8	29	80	6	3	1	317.0	70870.0	0.405	0.595
83	0.8	8	6	3	10	9	0.8	29	80	6	3	35	277.6	80920.0	0.333	0.667
84	0.6	8	6	1	10	9	0.6	29	60	6	3	0	328.7	68350.0	0.425	0.575
85	0.6	8	6	3	10	9	0.6	29	60	6	3	24	187.1	120100.0	0.16	0.84
86	0.4	8	6	1	10	9	0.4	29	40	6	3	0	312.5	71890.0	0.397	0.603
87	0.4	8	6	3	10	9	0.4	29	40	6	3	12	191.6	117200.0	0.169	0.831
88	0.2	8	6	1	10	9	0.2	29	20	6	3	0	247.8	90660.0	0.277	0.723
89	0.2	8	6	3	10	9	0.2	29	20	6	3	4	153.8	146100.0	0.101	0.899
0	1.0	8	6	1	10	1	1.0	21	100	6	0	6	359.9	124800.0	0.147	0.853
1	1.0	8	6	3	10	1	1.0	21	100	6	0	52	297.4	151100.0	0.093	0.907
2	0.8	8	6	1	10	1	0.8	21	80	6	0	2	315.3	142500.0	0.108	0.892
3	0.8	8	6	3	10	1	0.8	21	80	6	0	38	244.2	184000.0	0.054	0.946
4	0.6	8	6	1	10	1	0.6	21	60	6	0	0	382.5	117500.0	0.168	0.832
5	0.6	8	6	3	10	1	0.6	21	60	6	0	24	200.8	223800.0	0.03	0.97
6	0.4	8	6	1	10	1	0.4	21	40	6	0	0	359.7	124900.0	0.147	0.853
7	0.4	8	6	3	10	1	0.4	21	40	6	0	10	287.1	156500.0	0.085	0.915
8	0.2	8	6	1	10	1	0.2	21	20	6	0	0	499.7	89900.0	0.281	0.719
9	0.2	8	6	3	10	1	0.2	21	20	6	0	2	135.5	331600.0	0.007	0.993
10	1.0	8	6	1	10	2	1.0	22	100	6	0	6	359.2	125100.0	0.146	0.854
11	1.0	8	6	3	10	2	1.0	22	100	6	0	68	221.2	203100.0	0.04	0.96
12	0.8	8	6	1	10	2	0.8	22	80	6	0	0	331.2	135700.0	0.121	0.879
13	0.8	8	6	3	10	2	0.8	22	80	6	0	38	285.8	157200.0	0.084	0.916
14	0.6	8	6	1	10	2	0.6	22	60	6	0	0	376.0	119500.0	0.162	0.838
15	0.6	8	6	3	10	2	0.6	22	60	6	0	26	219.7	204500.0	0.04	0.96
16	0.4	8	6	1	10	2	0.4	22	40	6	0	0	360.3	124700.0	0.147	0.853
17	0.4	8	6	3	10	2	0.4	22	40	6	0	10	240.3	186900.0	0.052	0.948
18	0.2	8	6	1	10	2	0.2	22	20	6	0	0	372.6	120600.0	0.159	0.841
19	0.2	8	6	3	10	2	0.2	22	20	6	0	2	125.7	357300.0	0.005	0.995
20	1.0	8	6	1	10	3	1.0	23	100	6	0	5	315.9	142200.0	0.108	0.892
21	1.0	8	6	3	10	3	1.0	23	100	6	0	52	295.7	151900.0	0.092	0.908
22	0.8	8	6	1	10	3	0.8	23	80	6	0	0	309.5	145200.0	0.103	0.897
23	0.8	8	6	3	10	3	0.8	23	80	6	0	37	331.7	135400.0	0.122	0.878
24	0.6	8	6	1	10	3	0.6	23	60	6	0	0	326.7	137500.0	0.117	0.883
25	0.6	8	6	3	10	3	0.6	23	60	6	0	25	305.1	147300.0	0.099	0.901
26	0.4	8	6	1	10	3	0.4	23	40	6	0	0	328.2	136900.0	0.119	0.881
27	0.4	8	6	3	10	3	0.4	23	40	6	0	12	246.8	182100.0	0.056	0.944
28	0.2	8	6	1	10	3	0.2	23	20	6	0	0	280.1	160400.0	0.08	0.92
29	0.2	8	6	3	10	3	0.2	23	20	6	0	5	280.8	160000.0	0.08	0.92
30	1.0	8	6	1	10	4	1.0	24	100	6	0	6	370.4	121300.0	0.157	0.843
31	1.0	8	6	3	10	4	1.0	24	100	6	0	51	282.3	159100.0	0.081	0.919
32	0.8	8	6	1	10	4	0.8	24	80	6	0	2	379.3	118500.0	0.165	0.835
33	0.8	8	6	3	10	4	0.8	24	80	6	0	39	324.5	138400.0	0.116	0.884
34	0.6	8	6	1	10	4	0.6	24	60	6	0	0	331.2	135700.0	0.121	0.879
35	0.6	8	6	3	10	4	0.6	24	60	6	0	24	258.7	173700.0	0.064	0.936
36	0.4	8	6	1	10	4	0.4	24	40	6	0	0	396.7	113300.0	0.181	0.819
37	0.4	8	6	3	10	4	0.4	24	40	6	0	12	291.0	154400.0	0.088	0.912
38	0.2	8	6	1	10	4	0.2	24	20	6	0	0	391.5	114800.0	0.176	0.824
39	0.2	8	6	3	10	4	0.2	24	20	6	0	4	454.6	98820.0	0.237	0.763
40	1.0	8	6	1	10	5	1.0	25	100	6	0	3	341.2	131700.0	0.13	0.87
41	1.0	8	6	3	10	5	1.0	25	100	6	0	53	248.0	181100.0	0.057	0.943
42	0.8	8	6	1	10	5	0.8	25	80	6	0	1	372.9	120500.0	0.159	0.841
43	0.8	8	6	3	10	5	0.8	25	80	6	0	40	293.5	153100.0	0.09	0.91
44	0.6	8	6	1	10	5	0.6	25	60	6	0	0	363.8	123500.0	0.15	0.85
45	0.6	8	6	3	10	5	0.6	25	60	6	0	24	273.1	164500.0	0.074	0.926
46	0.4	8	6	1	10	5	0.4	25	40	6	0	0	382.7	117400.0	0.168	0.832
47	0.4	8	6	3	10	5	0.4	25	40	6	0	11	178.0	252400.0	0.02	0.98
48	0.2	8	6	1	10	5	0.2	25	20	6	0	0	324.0	138600.0	0.115	0.885
49	0.2	8	6	3	10	5	0.2	25	20	6	0	3	191.0	235300.0	0.025	0.975
50	1.0	8	6	1	10	6	1.0	26	100	6	0	5	360.8	124500.0	0.148	0.852
51	1.0	8	6	3	10	6	1.0	26	100	6	0	50	272.4	164900.0	0.074	0.926
52	0.8	8	6	1	10	6	0.8	26	80	6	0	2	321.6	139700.0	0.113	0.887
53	0.8	8	6	3	10	6	0.8	26	80	6	0	37	281.6	159600.0	0.081	0.919
54	0.6	8	6	1	10	6	0.6	26	60	6	0	0	364.1	123400.0	0.151	0.849
55	0.6	8	6	3	10	6	0.6	26	60	6	0	25	249.9	179800.0	0.058	0.942
56	0.4	8	6	1	10	6	0.4	26	40	6	0	0	388.8	115500.0	0.174	0.826
57	0.4	8	6	3	10	6	0.4	26	40	6	0	12	179.2	250700.0	0.02	0.98
58	0.2	8	6	1	10	6	0.2	26	20	6	0	0	401.4	111900.0	0.186	0.814
59	0.2	8	6	3	10	6	0.2	26	20	6	0	6	145.8	308200.0	0.01	0.99
60	1.0	8	6	1	10	7	1.0	27	100	6	0	4	372.7	120600.0	0.159	0.841
61	1.0	8	6	3	10	7	1.0	27	100	6	0	53	303.9	147800.0	0.098	0.902
62	0.8	8	6	1	10	7	0.8	27	80	6	0	1	350.0	128400.0	0.138	0.862
63	0.8	8	6	3	10	7	0.8	27	80	6	0	38	322.4	139300.0	0.114	0.886
64	0.6	8	6	1	10	7	0.6	27	60	6	0	0	340.7	131900.0	0.13	0.87
65	0.6	8	6	3	10	7	0.6	27	60	6	0	22	248.4	180900.0	0.057	0.943
66	0.4	8	6	1	10	7	0.4	27	40	6	0	0	292.5	153600.0	0.089	0.911
67	0.4	8	6	3	10	7	0.4	27	40	6	0	13	193.2	232600.0	0.026	0.974
68	0.2	8	6	1	10	7	0.2	27	20	6	0	0	326.9	137500.0	0.118	0.882
69	0.2	8	6	3	10	7	0.2	27	20	6	0	3	194.2	231400.0	0.027	0.973
70	1.0	8	6	1	10	8	1.0	28	100	6	0	5	363.1	123700.0	0.15	0.85
71	1.0	8	6	3	10	8	1.0	28	100	6	0	51	284.5	157900.0	0.083	0.917
72	0.8	8	6	1	10	8	0.8	28	80	6	0	2	384.1	117000.0	0.169	0.831
73	0.8	8	6	3	10	8	0.8	28	80	6	0	36	335.0	134100.0	0.125	0.875
74	0.6	8	6	1	10	8	0.6	28	60	6	0	0	348.6	128900.0	0.137	0.863
75	0.6	8	6	3	10	8	0.6	28	60	6	0	21	242.5	185300.0	0.053	0.947
76	0.4	8	6	1	10	8	0.4	28	40	6	0	0	338.0	132900.0	0.127	0.873
77	0.4	8	6	3	10	8	0.4	28	40	6	0	10	292.2	153800.0	0.089	0.911
78	0.2	8	6	1	10	8	0.2	28	20	6	0	0	238.8	188200.0	0.051	0.949
79	0.2	8	6	3	10	8	0.2	28	20	6	0	2	292.4	153700.0	0.089	0.911
80	1.0	8	6	1	10	9	1.0	29	100	6	0	6	378.9	118600.0	0.165	0.835
81	1.0	8	6	3	10	9	1.0	29	100	6	0	51	335.1	134100.0	0.125	0.875
82	0.8	8	6	1	10	9	0.8	29	80	6	0	1	317.0	141700.0	0.109	0.891
83	0.8	8	6	3	10	9	0.8	29	80	6	0	35	277.6	161800.0	0.078	0.922
84	0.6	8	6	1	10	9	0.6	29	60	6	0	0	328.7	136700.0	0.119	0.881
85	0.6	8	6	3	10	9	0.6	29	60	6	0	24	187.1	240100.0	0.024	0.976
86	0.4	8	6	1	10	9	0.4	29	40	6	0	0	312.5	143800.0	0.105	0.895
87	0.4	8	6	3	10	9	0.4	29	40	6	0	12	191.6	234500.0	0.026	0.974
88	0.2	8	6	1	10	9	0.2	29	20	6	0	0	247.8	181300.0	0.057	0.943
89	0.2	8	6	3	10	9	0.2	29	20	6	0	4	153.8	292200.0	0.012	0.988
